"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"CustomerRelationshipManagement","Customer Relationship Management","Manage and analyse interactions with past, current, and potential customers","dpv:CustomerManagement","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2020/07/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CustomerSolvencyMonitoring","Customer Solvency Monitoring","Monitor solvency of customers for financial diligence","dpv:CustomerManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EnforceSecurity","Enforce Security","Ensure and enforce security for data, personnel, or other related matters","dpv:Purpose","sc","","","","Was previous ""Security"". Prefixed to distinguish from TechOrg measures.","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AntiTerrorismOperations","Anti-Terrorism Operations","Detect, prevent, mitigate, or perform other activities for anti-terrorism","dpv:EnforceSecurity","sc","","","","","","2022-04-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EnforceAccessControl","Enforce Access Control","Conduct or enforce access control as a form of security","dpv:EnforceSecurity","sc","","svpu:Login","","Was previously ""Access Control"". Prefixed to distinguish from Technical Measure.","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FraudPreventionAndDetection","Fraud Prevention and Detection","Detect and prevent fraud","dpv:EnforceSecurity","sc","","svpu:Government","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CounterMoneyLaundering","Counter Money Laundering","Detect and prevent or mitigate money laundering","dpv:FraudPreventionAndDetection","sc","","","","","","2022-04-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MaintainFraudDatabase","MaintainFraudDatabase","Maintain a database related to fraud risks and fraud incidents","dpv:FraudPreventionAndDetection","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityVerification","Identity Verification","Verify or authorise identity as a form of security","dpv:EnforceSecurity","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityAuthentication","Identity Authentication","Perform authentication based on identity as a form of service","dpv:EnforceSecurity","sc","","","","","","2020-11-04","","proposed","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"Marketing / Advertising","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marketing","Marketing","Conduct marketing in relation to organisation or products or services e.g. promoting, selling, and distributing ","dpv:Purpose","sc","","","","Was commercial interest, changed to consider Marketing a separate Purpose category by itself","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"DirectMarketing","Direct Marketing","Conduct direct marketing i.e. marketing communicated directly to the individual","dpv:Marketing","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"PublicRelations","Public Relations","Manage and conduct public relations processes, including creating goodwill for the organisation","dpv:Marketing","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SocialMediaMarketing","Social Media","Conduct marketing through social media","dpv:Marketing","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"Advertising","Advertising","Conduct advertising i.e. process or artefact used to call attention to a product, service, etc. through announcements, notices, or other forms of communication","dpv:Marketing","sc","","","","Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads. ","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2020/07/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalisedAdvertising","Personalised Advertising","Create and provide personalised advertising","dpv:Advertising,dpv:Personalisation","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"TargetedAdvertising","Targeted Advertising","Create and provide pesonalised advertisement where the personalisation is targeted to a specific individual or group of individuals","dpv:PersonalisedAdvertising","sc","","","","","","2022-03-30","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OrganisationGovernance","Organisation Governance","Conduct activities and functions for governance of an organisation","dpv:Purpose","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DisputeManagement","Dispute Management","Manage disputes by natural persons, private bodies, or public authorities relevant to organisation","dpv:OrganisationGovernance","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MemberPartnerManagement","Members and Partners Management","Maintain registry of shareholders, members, or partners for governance, administration, and management functions","dpv:OrganisationGovernance","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","
Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OrganisationComplianceManagement","Organisation Compliance Management","Manage compliance for organisation in relation to internal policies","dpv:OrganisationGovernance","sc","","","","Note that this concept relates to internal organisational compliance. The concept LegalCompliance should be used for external legal or regulatory compliance.","","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OrganisationRiskManagement","Organisation Risk Management","Manage risk for organisation's activities","dpv:OrganisationGovernance","sc","","","","","","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"HumanResourceManagement","Human Resources Management","Manage humans and 'human resources' within the organisation for effective and efficient operations.","dpv:Purpose","sc","","","","HR is a broad concept. Its management includes, amongst others - recruiting employees and intermediaries e.g. brokers, independent representatives; payroll administration, remunerations, commissions, and wages; and application of social legislation.","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, David Hickey, Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonnelManagement","Personnel Management","Management of personnel associated with the organisation e.g. evaluation and management of employees and intermediaries","dpv:HumanResources","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2022-03-30","","accepted","Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonnelHiring","Personnel Hiring","Management and execution of hiring processes of personnel","dpv:PersonnelManagement","sc","","","","","","2022-04-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonnelPayment","Personnel Payment","Management and execution of payment of personnel","dpv:PersonnelManagement","sc","","","","","","2022-04-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"RecordManagement","Record Management","Manage creation, storage, and use of records relevant to operations, events, and processes e.g. to store logs or access requests","dpv:Purpose","sc","","","","This purpose relates specifiaclly for record creation and management. This can be combined or used along with other purposes to express intentions such as records for legal compliance or vendor payments.","","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"VendorManagement","Vendor Management","Manage orders, payment, evaluation, and prospecting related to vendors","dpv:Purpose","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LegalCompliance","Legal Compliance","Fulfilment of obligations or requirements towards achieving compliance with law or regulations","dpv:Purpose","sc","","","","This purpose only refers to processing that is additionally required in order to fulfill the obligations and requirements associated with a law. For example, the use of consent would have its own separate purposes, with this purpose addressing a legal requirement for maintaining consent record (along with RecordManagement). This purpose will typically be used with Legal Obligation as the legal basis.","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"VendorPayment","Vendor Payment","Manage payment of vendors","dpv:VendorManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"VendorRecordsManagement","Vendor Records Management","Manage records and orders related to vendors","dpv:VendorManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"VendorSelectionAssessment","Vendor Selection Assessment","Manage selection, assessment, and evaluation related to vendors","dpv:VendorManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-01","","accepted","Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CreditChecking","Credit Checking","Monitor, perform, or assess credit worthiness or solvency","dpv:CustomerSolvencyMonitoring","sc","","","","","","2022-04-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MaintainCreditCheckingDatabase","MaintainCreditCheckingDatabase","Maintain Credit Checking Database","dpv:CreditChecking","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MaintainCreditRatingDatabase","MaintainCreditRatingDatabase","Maintain Credit Rating Database","dpv:CreditChecking","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Personalisation","Personalisation","Create and provide customisation based on attributes and/or needs of person(s) or context(s).","dpv:Purpose","sc","","","","This term is a blanket purpose category for indicating personalisation of some other purpose, e.g. by creating a subclass of the other concept and Personalisation","","2021-09-01","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServicePersonalisation","Service Personalisation","Personalise services or product or activities","dpv:ServiceProvision,dpv:Personalisation","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ProvideEventRecommendations","Provide Event Recommendations","Create and provide personalised recommendations for events","dpv:CreatePersonalisedRecommendations","sc","","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-11-26","2022-10-14","accepted","Harshvardhan J. Pandit, Rudy Jacob","https://www.w3.org/2019/11/26-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ProvideProductRecommendations","Provide Product Recommendations","Create and provide product recommendations e.g. suggest similar products","dpv:CreatePersonalisedRecommendations","sc","","svpu:Marketing","","","","2019-04-05","2022-10-14","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ProvidePersonalisedRecommendations","Provide Personalised Recommendations","Create and provide personalised recommendations","dpv:ServicePersonalisation","sc","","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-11-26","2022-10-14","accepted","Harshvardhan J. Pandit, Rudy Jacob","https://www.w3.org/2019/11/26-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalisedBenefits","Personalised Benefits","Create and provide personalised benefits for a service","dpv:ServicePersonalisation","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"UserInterfacePersonalisation","User Interface Personalisation","Personalise interfaces presented to the user","dpv:ServicePersonalisation","sc","","","","Examples of user-interface personalisation include changing the language to match the locale","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ResearchAndDevelopment","Research and Development","Conduct research and development for new methods, products, or services","dpv:Purpose","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AcademicResearch","Academic Research","Conduct or assist with research conducted in an academic context e.g. within universities","dpv:ResearchAndDevelopment","sc","","svpu:Education","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CommercialResearch","Commercial Research","Conduct research in a commercial setting or with intention to commercialise e.g. in a company or sponsored by a company","dpv:ResearchAndDevelopment","sc","","svpu:Develop","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"NonCommercialResearch","Non-Commercial Research","Conduct research in a non-commercial setting e.g. for a non-profit-organisation (NGO)","dpv:ResearchAndDevelopment","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Selling","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SellDataToThirdParties","Sell Data to Third Parties","Sell data or information to third parties","dpv:SellProducts","sc","","","","Sell here means exchange, submit, or provide in return for direct or indirect compensation. Was subclass of commercial interest, changed to reflect selling something","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellInsightsFromData","Sell Insights from Data","Sell insights obtained from analysis of data","dpv:SellProducts","sc","","","","Sell here means exchange, submit, or provide in return for direct or indirect compensation. Was subclass of commercial interest, changed to reflect selling something","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellProductsToDataSubject","Sell Products to Data Subject","Sell products or services to the user, consumer, or data subjects","dpv:SellProducts","sc","","","","Sell Products here refers to processing necessary to provide and complete a sale to customers. It should not be confused with providing services with a cost based on an established agreement.","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellProducts","Sell Products","Sell products or services","dpv:ServiceProvision","sc","","","","Sell here means exchange, submit, or provide in return for direct or indirect compensation.","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServiceProvision","Service Provision","Provide service or product or activities","dpv:Purpose","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"RepairImpairments","Repair Impairments","Identify, rectify, or otherwise under take activities intended to fix or repair impairments to existing functionalities","dpv:ServiceProvision","sc","","","","An example of identifying and rectifying impairments is the process of finding and fixing errors in products, commonly referred to as debugging","","2022-08-24","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"PaymentManagement","Payment Management","Process and manage payment in relation to service, including invoicing and records","dpv:ServiceProvision","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"ServiceRegistration","Service Registration","Register users and collect information required for providing a service","dpv:ServiceProvision","sc","","","","An example of service registration is to provide a form that collects information such as preferred language or media format for downloading a movie","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"RequestedServiceProvision","Requested Service Provision","Deliver service as requested by user or consumer","dpv:ServiceProvision","sc","","","","The use of 'request' here includes where an user explicitly asks for the service and also when an established contract requires the provision of the service","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServiceRecordManagement","Service Order Management","Manage invoicing, orders, and records in relation to services","dpv:ServiceProvision","sc","","","","","","2021-09-08","","deprecated","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServiceUsageAnalytics","Service Usage Analytics","Conduct analysis and reporting related to usage of services or products","dpv:ServiceProvision","sc","","","","Was ""UsageAnalytics"", prefixed with Service to better reflect scope","","2020-11-04","2022-10-05","modified","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"TechnicalServiceProvision","Technical Service Provision","Manage and provide technical processes and functions necessary for delivering services","dpv:ServiceProvision","sc","","","","","","2021-09-08","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DeliveryOfGoods","Delivery of Goods","Deliver goods and services requested or asked by consumer","dpv:RequestedServiceProvision","sc","","svpu:Delivery","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServiceOptimisation","Service Optimisation","Optimise services or activities","dpv:ServiceProvision","sc","","","","Subclass of ServiceProvision since optimisation is usually considered part of providing services","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OptimisationForConsumer","Optimisation for Consumer","Optimize activities and services for consumer or user","dpv:ServiceOptimisation","sc","","svpu:Custom","","The term optmisation here refers to the efficiency of the service in terms of technical provision (or similar means) with benefits for everybody. Personalisation implies making changes that benefit the current user or persona.","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OptimiseUserInterface","Optimise User Interface","Optimize interfaces presented to the user","dpv:OptimisationForConsumer","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OptimisationForController","Optimisation for Controller","Optimize activities and services for provider or controller","dpv:ServiceOptimisation","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ImproveExistingProductsAndServices","Improve Existing Products and Services","Improve existing products and services","dpv:OptimisationForController","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IncreaseServiceRobustness","Increase Service Robustness","Improve robustness and resilience of services","dpv:OptimisationForController","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"InternalResourceOptimisation","Internal Resource Optimisation","Optimize internal resource availability and usage for organisation","dpv:OptimisationForController","sc","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
