"Term Concepts in DPV this extends dpv:Technology dpv:hasTechnology Core Concepts in dpv-tech","Label ","Description Technology Associates use or applicability of technology ","ParentTerm dpv:Concept dpv:Relation ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"SecurityManagementTechnology","Security Management Technology","Technology related to management of security","dpv-tech:SecurityTechnology,dpv-tech:ManagementTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Forms of Surveillance with technologies","Forms of Surveillance with technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OvertSurveillanceTechnology","Overt Surveillance Technology","Surveillance that is overt i.e. visible or apparent or explicit","dpv-tech:SurveillanceTechnology","","","For example, a CCTV with a notice","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CovertSurveillanceTechnology","Covert SurveillanceTechnology","Surveillance that is covert i.e. invisible or non-apparent or implicit","dpv-tech:SurveillanceTechnology","","","For example, a web resource that performs tracking in the background","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"How technology is provided / used","How technology is provided / used","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TechnologyProvisionMethod","Technology Provision Method","Method associated with provision or use of technology","dpv:Concept","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FixedUse","FixedUse","Technology that can be used a fixed numner of times","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Subscription","Subscription","Technology that is provided or used as a periodic subscription ","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Product","Product","Technology that is provided as a product","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Goods","Goods","Technology provided or used as goods","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Services","Services","Technology provided or used as services","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Algorithmic","Algorithmic","Technology provided as an algorithm or method","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"System","System","Technology provided as a system","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Component","Component","Technology provided as a component","dpv-tech:TechnologyProvisionMethod","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Actors involved in technologies","Actors involved in technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TechnologyActor","TechnologyActor","Actors and Entities involved in provision, use, and management of Technology","dpv:Entity","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TechnologyProvider","TechnologyProvider","Actor that provides Technology","dpv-tech:TechnologyActor","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TechnologyDeveloper","TechnologyDeveloper","Actor that develops Technology","dpv-tech:TechnologyActor","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TechnologyUser","TechnologyUser","Actor that uses Technologoy","dpv-tech:TechnologyActor","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TechnologySubject","TechnologySubject","Actor that is subject of use of Technology","dpv-tech:TechnologyActor","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Where technology is used","Where technology is used","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TechnologyUsageLocation","TechnologyUsageLocation","Location for where technology is provided or used","dpv:Location","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"dpv:hasLocation","hasLocation","Indicates location of technology usage or provision","dpv:Relation","","","","","","","","","","","","","","","","","","","","","","","",""
"How technology communicates","How technology communicates","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CommunicationMechanism","CommunicationMechanism","Communication mechanism used or provided by Technologoy","dpv:Concept","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Networking","Networking","Technology utilising networking communication","dpv-tech:CommunicationMechanism","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LocalNetwork","LocalNetwork","Technology utilising local networking communication","dpv-tech:Networking","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Internet","Internet","Technology utilising internet communication","dpv-tech:Networking","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"WiFi","WiFi","Technology utilising wifi wireless networking communication","dpv-tech:Networking","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Bluetooth","Bluetooth","Technology utilising bluetooth communication","dpv-tech:Networking","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CellularNetwork","CellularNetwork","Technology utilising cellular networking communication","dpv-tech:Networking","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"GPS","GPS","Technology utilising GPS communication","dpv-tech:CommunicationMechanism","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Maturity of technology","Maturity of technology","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TechnologyReadinessLevel","TechnologyReadinessLevel","Indication of maturity of Technology (ISO 16290:2013)","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Specific instances of technologies","Specific instances of technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Database","Database","A database, database management system (DBMS), or application database","dpv-tech:DataStorageTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Cookie","Cookie","A HTTP or web or internet cookie","dpv-tech:LocalStorage","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FileSystem","FileSystem","A data storage and retrieval interface provided by an operating system","dpv-tech:DataStorageTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SmartphoneApplication","SmartphoneApplication","A computing or digital program on a smartphone device","dpv-tech:Application","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalInformationManagementSystem","PersonalInformationManagementSystem","A PIMS is a system that helps to give individuals more control over their personal data by managing their personal data in secure, on-premises or online storage systems and sharing it when and with whomever they choose","dpv-tech:DataManagementTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityManagementTechnology","IdentityManagementTechnology","Technologies providing identity provision, verification, management, and governance","dpv-tech:IdentityTechnology,dpv-tech:ManagementTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityWallet","IdentityWallet","product and service that allows the user to store identity data, credentials and attributes linked to her/his identity, to provide them to relying parties on request and to use them for authentication, online and offline, and to create qualified electronic signatures and seals ","dpv-tech:IdentityManagementTechnology,dpv-tech:DataStorageTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
