Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Modified,Contributors,Status,AIActRiskLevel,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-9,High-Risk AI System - Annex I(9),"High-risk AI system according to Annex I, point 9: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2016/425 of the European Parliament and of the Council of 9 March 2016 on personal protective equipment and repealing Council Directive 89/686/EEC (OJ L 81, 31.3.2016, p. 51)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-10,High-Risk AI System - Annex I(10),"High-risk AI system according to Annex I, point 10: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2016/426 of the European Parliament and of the Council of 9 March 2016 on appliances burning gaseous fuels and repealing Directive 2009/142/EC (OJ L 81, 31.3.2016, p. 99)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-11,High-Risk AI System - Annex I(11) ,"High-risk AI system according to Annex I, point 11: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2017/745 of the European Parliament and of the Council of 5 April 2017 on medical devices, amending Directive 2001/83/EC, Regulation (EC) No 178/2002 and Regulation (EC) No 1223/2009 and repealing Council Directives 90/385/EEC and 93/42/EEC (OJ L 117, 5.5.2017, p. 1)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-12,High-Risk AI System - Annex I(12),"High-risk AI system according to Annex I, point 12: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2017/746 of the European Parliament and of the Council of 5 April 2017 on in vitro diagnostic medical devices and repealing Directive 98/79/EC and Commission Decision 2010/227/EU (OJ L 117, 5.5.2017, p. 176)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-13,High-Risk AI System - Annex I(13),"High-risk AI system according to Annex I, point 13: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EC) No 300/2008 of the European Parliament and of the Council of 11 March 2008 on common rules in the field of civil aviation security and repealing Regulation (EC) No 2320/2002 (OJ L 97, 9.4.2008, p. 72)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-14,High-Risk AI System - Annex I(14),"High-risk AI system according to Annex I, point 14: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) No 168/2013 of the European Parliament and of the Council of 15 January 2013 on the approval and market surveillance of two- or three-wheel vehicles and quadricycles (OJ L 60, 2.3.2013, p. 52)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-15,High-Risk AI System - Annex I(15),"High-risk AI system according to Annex I, point 15: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) No 167/2013 of the European Parliament and of the Council of 5 February 2013 on the approval and market surveillance of agricultural and forestry vehicles (OJ L 60, 2.3.2013, p. 1)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-16,High-Risk AI System - Annex I(16),"High-risk AI system according to Annex I, point 16: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Directive 2014/90/EU of the European Parliament and of the Council of 23 July 2014 on marine equipment and repealing Council Directive 96/98/EC (OJ L 257, 28.8.2014, p. 146)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-17,High-Risk AI System - Annex I(17),"High-risk AI system according to Annex I, point 17: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Directive (EU) 2016/797 of the European Parliament and of the Council of 11 May 2016 on the interoperability of the rail system within the European Union (OJ L 138, 26.5.2016, p. 44)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-18,High-Risk AI System - Annex I(18) ,"High-risk AI system according to Annex I, point 18: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2018/858 of the European Parliament and of the Council of 30 May 2018 on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles, amending Regulations (EC) No 715/2007 and (EC) No 595/2009 and repealing Directive 2007/46/EC (OJ L 151, 14.6.2018, p. 1)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-19,High-Risk AI System - Annex I(19),"High-risk AI system according to Annex I, point 19: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2019/2144 of the European Parliament and of the Council of 27 November 2019 on type-approval requirements for motor vehicles and their trailers, and systems, components and separate technical units intended for such vehicles, as regards their general safety and the protection of vehicle occupants and vulnerable road users, amending Regulation (EU) 2018/858 of the European Parliament and of the Council and repealing Regulations (EC) No 78/2009, (EC) No 79/2009 and (EC) No 661/2009 of the European Parliament and of the Council and Commission Regulations (EC) No 631/2009, (EU) No 406/2010, (EU) No 672/2010, (EU) No 1003/2010, (EU) No 1005/2010, (EU) No 1008/2010, (EU) No 1009/2010, (EU) No 19/2011, (EU) No 109/2011, (EU) No 458/2011, (EU) No 65/2012, (EU) No 130/2012, (EU) No 347/2012, (EU) No 351/2012, (EU) No 1230/2012 and (EU) 2015/166 (OJ L 325, 16.12.2019, p. 1)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-20,High-Risk AI System - Annex I(20),"High-risk AI system according to Annex I, point 20: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by 
Regulation (EU) 2018/1139 of the European Parliament and of the Council of 4 July 2018 on common rules in the field of civil aviation and establishing a European Union Aviation Safety Agency, and amending Regulations (EC) No 2111/2005, (EC) No 1008/2008, (EU) No 996/2010, (EU) No 376/2014 and Directives 2014/30/EU and 2014/53/EU of the European Parliament and of the Council, and repealing Regulations (EC) No 552/2004 and (EC) No 216/2008 of the European Parliament and of the Council and Council Regulation (EEC) No 3922/91 (OJ L 212, 22.8.2018, p. 1), in so far as the design, production and placing on the market of aircrafts referred to in Article 2(1), points (a) and (b) thereof, where it concerns unmanned aircraft and their engines, propellers, parts and equipment to control them remotely, are concerned.","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
Annex III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HighRiskAISystem-A6-2,High Risk AI System per Article 6(2),"
High-risk AI system according to Article 6(2) of the AI Act which refers to specific applications in Annex III",eu-aiact:HighRiskAISystem,sc,,,AIA(Art.6(2)),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-1-a,High-Risk AI System - Annex III(1a) ,"High-risk AI system according to Annex III, Point 1a:  Biometrics, remote biometric identification systems. This shall not include AI systems intended to be used for biometric verification the sole purpose of which is to confirm that a specific natural person is the person he or she claims to be.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-1-b,High-Risk AI System - Annex III(1b),"High-risk AI system according to Annex III, Point 1b:  Biometrics, AI systems intended to be used for biometric categorisation, according to sensitive or protected attributes or characteristics based on the inference of those attributes or characteristics.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-1-c,High-Risk AI System - Annex III(1c),"High-risk AI system according to Annex III, Point 1c:  Biometrics, AI systems intended to be used for emotion recognition.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-2,High-Risk AI System - Annex III(2),"High-risk AI system according to Annex III, Point 2: Critical infrastructure: AI systems intended to be used as safety components in the management and operation of critical digital infrastructure, road traffic, or in the supply of water, gas, heating or electricity",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-3-a,High-Risk AI System - Annex III(3a),"High-risk AI system according to Annex III, Point 3a: AI systems intended to be used to determine access or admission or to assign natural persons to educational and vocational training institutions at all levels;",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-3-b,High-Risk AI System - Annex III(3b),"High-risk AI system according to Annex III, Point 3b: Education and vocational training: AI systems intended to be used to evaluate learning outcomes, including when those outcomes are used to steer the learning process of natural persons in educational and vocational training institutions at all levels",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-3-c,"High-Risk AI System - Annex III(3c)
","High-risk AI system according to Annex III, Point 3c: Education and vocational training: AI systems intended to be used for the purpose of assessing the appropriate level of education that an individual will receive or will be able to access, in the context of or within educational and vocational training institutions at all levels",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-3-d,"High-Risk AI System - Annex III(3d)
","High-risk AI system according to Annex III, Point 3d: Education and vocational training: AI systems intended to be used for monitoring and detecting prohibited behaviour of students during tests in the context of or within educational and vocational training institutions at all levels",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
"HighRiskAISystem-AnnexIII-4-a
",High-Risk AI System - Annex III(4a),"High-risk AI system according to Annex III, Point 4a: Employment, workers management and access to self-employment: AI systems intended to be used for the recruitment or selection of natural persons, in particular to place targeted job advertisements, to analyse and filter job applications, and to evaluate candidates",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-4-b,High-Risk AI System - Annex III(4b),"High-risk AI system according to Annex III, Point 4b: Employment, workers management and access to self-employment: AI systems intended to be used to make decisions affecting terms of work-related relationships, the promotion or termination of work-related contractual relationships, to allocate tasks based on individual behaviour or personal traits or characteristics or to monitor and evaluate the performance and behaviour of persons in such relationships",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-5-a,High-Risk AI System - Annex III(5a),"High-risk AI system according to Annex III, Point 5a: Access to and enjoyment of essential private services and essential public services and benefits: AI systems intended to be used by public authorities or on behalf of public authorities to evaluate the eligibility of natural persons for essential public assistance benefits and services, including healthcare services, as well as to grant, reduce, revoke, or reclaim such benefits and services.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-5-b,High-Risk AI System - Annex III(5b) ,"High-risk AI system according to Annex III, Point 5b: Access to and enjoyment of essential private services and essential public services and benefits: AI systems intended to be used to evaluate the creditworthiness of natural persons or establish their credit score, with the exception of AI systems used for the purpose of detecting financial fraud.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-5-c,High-Risk AI System - Annex III(5c) ,"High-risk AI system according to Annex III, Point 5c: Access to and enjoyment of essential private services and essential public services and benefits: AI systems intended to be used for risk assessment and pricing in relation to natural persons in the case of life and health insurance.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-5-d,High-Risk AI System -  Annex III(5d) ,"High-risk AI system according to Annex III, Point 5d: Access to and enjoyment of essential private services and essential public services and benefits: AI systems intended to evaluate and classify emergency calls by natural persons or to be used to dispatch, or to establish priority in the dispatching of, emergency first response services, including by police, firefighters and medical aid, as well as of emergency healthcare patient triage systems.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
"HighRiskAISystem-AnnexIII-6-a
",High-Risk AI System -  Annex III(6a) ,"High-risk AI system according to Annex III, Point 6a: Law enforcement, in so far as their use is permitted under relevant Union or national law: Law enforcement, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of law enforcement authorities, or by Union institutions, bodies, offices or agencies in support of law enforcement authorities or on their behalf to assess the risk of a natural person becoming the victim of criminal offences.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-6-b,High-Risk AI System -  Annex III(6b),"High-risk AI system according to Annex III, Point 6b:  Law enforcement, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of law enforcement authorities or by Union institutions, bodies, offices or agencies in support of law enforcement authorities as polygraphs or similar tools.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-6-c,High-Risk AI System -  Annex III(6c),"High-risk AI system according to Annex III, Point 6c:  AI systems intended to be used by or on behalf of law enforcement authorities, or by Union institutions, bodies, offices or agencies, in support of law enforcement authorities to evaluate the reliability of evidence in the course of the investigation or prosecution of criminal offences.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-6-d,High-Risk AI System -  Annex III(6d),"High-risk AI system according to Annex III, Point 6d:  Law enforcement, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by law enforcement authorities or on their behalf or by Union institutions, bodies, offices or agencies in support of law enforcement authorities for assessing the risk of a natural person offending or re-offending not solely on the basis of the profiling of natural persons as referred to in Article 3(4) of Directive (EU) 2016/680, or to assess personality traits and characteristics or past criminal behaviour of natural persons or groups.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-6-e,High-Risk AI System -  Annex III(6e),"High-risk AI system according to Annex III, Point 6e:  Law enforcement, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of law enforcement authorities or by Union institutions, bodies, offices or agencies in support of law enforcement authorities for the profiling of natural persons as referred to in Article 3(4) of Directive (EU) 2016/680 in the course of the detection, investigation or prosecution of criminal offences.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
"HighRiskAISystem-AnnexIII-7-a
",High-Risk AI System -  Annex III(7a),"High-risk AI system according to Annex III, Point 7a: Migration, asylum and border control management, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of competent public authorities or by Union institutions, bodies, offices or agencies as polygraphs or similar tools.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-7-b,High-Risk AI System -  Annex III(7b),"High-risk AI system according to Annex III, Point 7b: Migration, asylum and border control management, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of competent public authorities or by Union institutions, bodies, offices or agencies to assess a risk, including a security risk, a risk of irregular migration, or a health risk, posed by a natural person who intends to enter or who has entered into the territory of a Member State.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-7-c,High-Risk AI System -  Annex III(7c),"High-risk AI system according to Annex III, Point 7c: Migration, asylum and border control management, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of competent public authorities or by Union institutions, bodies, offices or agencies to assist competent public authorities for the examination of applications for asylum, visa or residence permits and for associated complaints with regard to the eligibility of the natural persons applying for a status, including related assessments of the reliability of evidence.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-7-d,High-Risk AI System -  Annex III(7d),"High-risk AI system according to Annex III, Point 7d: Migration, asylum and border control management, in so far as their use is permitted under relevant Union or national law: AI systems intended to be used by or on behalf of competent public authorities, or by Union institutions, bodies, offices or agencies, in the context of migration, asylum or border control management, for the purpose of detecting, recognising or identifying natural persons, with the exception of the verification of travel documents.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexIII-8-a,High-Risk AI System -  Annex III(8a),"High-risk AI system according to Annex III, Point 8a: Administration of justice and democratic processes: AI systems intended to be used by a judicial authority or on their behalf to assist a judicial authority in researching and interpreting facts and the law and in applying the law to a concrete set of facts, or to be used in a similar way in alternative dispute resolution.",eu-aiact:HighRiskAISystem-A6-2,eu-aiact:HighRiskAISystem,,,AIA(Anx.III),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-2,,,,,,,,,,,,,,,,,,
