Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
SIPProvider,Single Information Point Provider,An entity who is responsible for receiving and transmitting requests for the reuse of public data,dpv:LegalEntity,sc,,,,,DGA 8,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
EUSIPProvider,EU Single Information Point Provider,An entity who is responsible for receiving and transmitting requests for the reuse of public data in the EU,eu-dga:SIPProvider,sc,,,,,DGA 8.4,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
LocalSIPProvider,Local Single Information Point Provider,A local entity who is responsible for receiving and transmitting requests for the reuse of public data,eu-dga:SIPProvider,sc,,,,,,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
NationalSIPProvider,National Single Information Point Provider,A national entity who is responsible for receiving and transmitting requests for the reuse of public data,eu-dga:SIPProvider,sc,,,,,,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
RegionalSIPProvider,Regional Single Information Point Provider,A regional entity who is responsible for receiving and transmitting requests for the reuse of public data,eu-dga:SIPProvider,sc,,,,,,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
SectorialSIPProvider,Sectorial Single Information Point Provider,An entity who is responsible for receiving and transmitting requests for the reuse of public data for a particular sector,eu-dga:SIPProvider,sc,,,,,,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataAltruismAuthority,Data Altruism Authority,An authority tasked with overseeing the activity of data altruism organisations and maintaining a public register of said entities,dpv:Authority,sc,,,,,DGA 23,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
PublicSectorBody,Public Sector Body,"‘Public Sector Body’ means the State, regional or local authorities, bodies governed by public law or associations formed by one or more such authorities, or one or more such bodies governed by public law",dpv:PublicSectorBody,sc,,,,,DGA 2.17,2025-01-01,,accepted,Georg P. Krog,,,,,,,,,,,,,,,,,
PublicLawGovernedBody,Public Law Governed Body,"Public Law Governed Body' or 'Body Governed by Public Law' means bodies that have the following characteristics: (a) they are established for the specific purpose of meeting needs in the general interest, and do not have an industrial or commercial character; (b) they have legal personality; (c) they are financed, for the most part, by the State, regional or local authorities, or other bodies governed by public law, are subject to management supervision by those authorities or bodies, or have an administrative, managerial or supervisory board, more than half of whose members are appointed by the State, regional or local authorities, or by other bodies governed by public law;",dpv:LegalEntity,sc,,,,,DGA 2.18,2025-01-01,,accepted,Georg P. Krog,,,,,,,,,,,,,,,,,
LegalRepresentative,Legal Representative,"Legal Representative' means a natural or legal person established in the Union explicitly designated to act on behalf of a data intermediation services provider or an entity that collects data for objectives of general interest made available by natural or legal persons on the basis of data altruism not established in the Union, which may be addressed by the competent authorities for data intermediation services and the competent authorities for the registration of data altruism organisations in addition to or instead of the data intermediation services provider or entity with regard to the obligations under this Regulation, including with regard to initiating enforcement proceedings against a non-compliant data intermediation services provider or entity not established in the Union",dpv:Representative,sc,,,,,DGA 2.21,2025-01-01,,accepted,Georg P. Krog,,,,,,,,,,,,,,,,,
Undertaking,Undertaking,"An undertaking is an entity engaged in an economic activity (i.e. offering goods or services on a given market), regardless of its legal status and the way in which it is financed",dpv:Entity,sc,,,,,Glossary of terms used in EU competition policy (Antitrust and control of concentrations) 2002,2025-01-01,,,Harshvardhan J. Pandit,
PublicUndertaking,Public Undertaking,"Public Undertaking' means any undertaking over which the public sector bodies may exercise directly or indirectly a dominant influence by virtue of their ownership of it, their financial participation therein, or the rules which govern it; for the purposes of this definition, a dominant influence on the part of the public sector bodies shall be presumed in any of the following cases in which those bodies, directly or indirectly: (a) hold the majority of the undertaking’s subscribed capital; (b) control the majority of the votes attaching to shares issued by the undertaking; (c) can appoint more than half of the undertaking’s administrative, management or supervisory body;",eu-dga:Undertaking,sc,,,,,DGA 2.20,2025-01-01,,,Georg P. Krog,
OnePersonUndertaking,One-Person Undertaking,???,eu-dga:Undertaking,sc,,,,,,2025-01-01,,,Georg P. Krog,
