Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
ProfilingAllowed,Profiling Allowed,Term that indicates Profiling is allowed,,"p7012:ProfilingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Profiling2PAllowed,Profiling Allowed Only First Party,Term that indicates Profiling is allowed but only by the 1st Party,p7012:ProfilingAllowed,"p7012:ProfilingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingDisallowed,Profiling Disallowed,Term that indicates Profiling is not allowed ,,"p7012:ProfilingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Profiling3PDisallowed,Profiling Disallowed For Third Party,Term that indicates Profiling is not allowed by 3rd Parties,p7012:ProfilingDisallowed,"p7012:ProfilingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingWithoutPIIAllowed,Profiling Allowed Only Non PII,Term that indicates Profiling is allowed but only if it uses non-PII,p7012:ProfilingAllowed,"p7012:ProfilingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingWithoutFPAllowed,Profiling Allowed No FP,Term that indicates Profiling is allowed but only if it does not involve Fingerprinting,p7012:ProfilingAllowed,"p7012:ProfilingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingWithPIIDisallowed,Profiling Disallowed PII,Term that indicates Profiling involving use of PII is not allowed,p7012:ProfilingDisallowed,"p7012:ProfilingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingWithFPDisallowed,Profiling Disallowed FP,Term that indicates Profiling involving use of Fingerprinting is not allowed,p7012:ProfilingDisallowed,"p7012:ProfilingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSharingTerm,Data Sharing Term,Term related to Data Sharing,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataAllowed,Sharing Data Allowed,Term that indicates Data Sharing is allowed,,"p7012:DataSharingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataDisallowed,Sharing Data Disallowed,Term that indicates Data Sharing is not allowed,,"p7012:DataSharingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataNonAnonymisedDisallowed,Sharing Non-Anonymised Data Disallowed,Term that indicates Data Sharing for fully anonymised data is not allowed,p7012:SharingDataDisallowed,"p7012:DataSharingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingData3PAllowed,Sharing Data with 3rd Party Allowed,Term that indicates data sharing with third party is allowed,p7012:SharingDataAllowed,"p7012:DataSharingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingData3PDisallowed,Sharing Data with 3rd Party Disallowed,Term that indicates data sharing with third party is disallowed,p7012:SharingDataDisallowed,"p7012:DataSharingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataAnonymised3PAllowed,Sharing Anonymised Data with 3rd Party Allowed,Term that indicates data sharing only of anonymised data with third party is allowed,p7012:SharingDataAllowed,"p7012:DataSharingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataAnonymised3PDisallowed,Sharing Anonymised Data with 3rd Party Disallowed,Term that indicates data sharing of full anonymised data with third party is disallowed,p7012:SharingDataDisallowed,"p7012:DataSharingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
SharingDataNonAnonymised3PDisallowed,Sharing Non-Anonymised Data with 3rd Party Disallowed,Term that indicates data sharing of non-anonymised data with third party is disallowed,p7012:SharingDataDisallowed,"p7012:DataSharingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,

DeonticInterpretationTerm,Deontic Interpretation Term,Term related to interpretation of the Term(s) using deontic logic,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PermissiveInterpretation,Permissive Interpretation,"Term that indicates a permissive interpretation where if something is not prohibited or if there are no rules governing it, then it is assumed to be permitted",,p7012:DeonticInterpretationTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProhibitiveInterpretation,Prohibitive Interpretation,"Term that indicates a prohibitive interpretation where if something is not permitted or if there are no rules governing it, then it is assumed to be prohibited",,p7012:DeonticInterpretationTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConflictResolutionTerm,Conflict Resolution Term,Term related to resolving conflicts in Term(s),dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ResolvePreferringPermission,Resolve Preferring Permission,"Term that indicates a conflict should be resolved by preferring the permission over the prohibition i.e. if something is both prohibited and permitted, it is assumed to be permitted",,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ResolvePreferringProhibition,Resolve Preferring Prohibition,"Term that indicates a conflict should be resolved by preferring the prohibition over the permission i.e. if something is both prohibited and permitted, it is assumed to be prohibited",,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ResolveByDiscarding,Resolve By Discarding,Term that indicates a conflict should be resolved by discarding the conflicting terms i.e. removing all terms that are in conflict,,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ResolveOnlyWithinContext,Resolve Only Within Context,Term that indicates a conflict should be resolved using the specified method but only for this context i.e. other contexts that have their own conflict resolution method should not be overridden,,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ResolveAcrossContexts,Resolve Across Contexts,Term that indicates this conflict method should be used to resolve all conflicts across contexts i.e. other contexts that have their own conflict resolution method should be overridden,,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgentBehaviour,Agent Behaviour,Term that indicates the behaviour of the Agent,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentRequestBehaviour,Agent Request Behaviour,Term that indicates the behaviour of the Agent in relation to requests,p7012:AgentBehaviour,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsRequests,Agent Allows Requests,Term that indicates the Agent should allow requests to be made,,p7012:AgentRequestBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsRequestsOnlyKnownParty,Agent Allows Requests Only Known Party,Term that indicates the Agent should allow requests to be made but only from prior known parties,p7012:AgentAllowsRequests,p7012:AgentRequestBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsRequestsOnlyPriorAgreementParty,Agent Allows Requests Only Prior Agreement Party,Term that indicates the Agent should allow requests to be made but only from prior known parties with whom an agreement was established in the past,p7012:AgentAllowsRequestsOnlyKnownParty,p7012:AgentRequestBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentDisallowsRequests,Agent Disallows Requests,Term that indicates the Agent should not allow any requests to be made,,p7012:AgentRequestBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentNegotiationBehaviour,Agent Negotiation Behaviour,Term that indicates the behaviour of the Agent in relation to negotiations,p7012:AgentBehaviour,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiation,Agent Allows Negotiation,Term that indicates the Agent should allow negotiations,,p7012:AgentNegotiationBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiationOnlyKnownParty,Agent Allows Negotiation Only Known Party,Term that indicates the Agent should allow negotiations but only from known parties,p7012:AgentAllowsNegotiation,p7012:AgentNegotiationBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiationOnlyPriorAgreementParty,Agent Allows Negotiation Only Prior Agreement Party,Term that indicates the Agent should allow negotiations but only from known parties with whom an agreement was established in the past,p7012:AgentAllowsNegotiationOnlyKnownParty,p7012:AgentNegotiationBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentDisallowsNegotiation,Agent Disallows Negotiation,Term that indicates the Agent should not allow any negotiations,,p7012:AgentNegotiationBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreferenceApplicability,Privacy Preference Applicability,Term that indicates the applicability of Privacy Preference(s),dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceAlwaysApplies,Preference Always Applies,Term that indicates the privacy preference always applies in all contexts and should always be used in agreements and negotiations,,p7012:PreferenceApplicability,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceNeverApplies,Preference Never Applies,Term that indicates the privacy preference never applies in any context and should never be used in agreements or negotiations,,p7012:PreferenceApplicability,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceConditionallyApplies,Preference Conditionally Applies,Term that indicates the privacy preference conditionally applies i.e. it should only be used in agreements and negotiations if the associated condition is satisfied within the context,,p7012:PreferenceApplicability,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortabilityTerm,Portability Term,Term that indicates portability of data from service provider to individual,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequired,Portability Required,Term that indicates data portability is required to be provided,,"p7012:PortabilityTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequiredImmediately,Portability Required Immediately,Term that indicates data should be ported or made available immediately without delay,p7012:PortabilityRequired,"p7012:PortabilityTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequiredOnRequest,Portability Required On Request,Term that indicates data should be ported or made available on request,p7012:PortabilityRequired,"p7012:PortabilityTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityToThirdParty,Portability To Third Party,Term that indicates data should be ported or made available to third party,p7012:PortabilityRequired,"p7012:PortabilityTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityNotRequired,Portability Not Required,Term that indicates data portability is not required to be provided,,"p7012:PortabilityTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransparencyTerm,Transparency Term,Term that indicates transparency as an obligation,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyRequired,Transparency Required,Term that indicates transparency is obligated,,"p7012:TransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyExAnte,Transparency Ex Ante,Term that indicates transparency is obligated ahead of intended process i.e. ex-ante transparency,p7012:TransparencyRequired,"p7012:TransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyExPost,Transparency Ex Post,Term that indicates transparency is obligated after intended process i.e. ex-post transparency,p7012:TransparencyRequired,"p7012:TransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyOnRequest,Transparency On Request,Term that indicates transparency is obligated upon request,p7012:TransparencyRequired,"p7012:TransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyNotRequired,Transparency Not Required,Term that indicates transparency is not required to be provided,p7012:TransparencyRequired,p7012:TransparencyTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PurposeTransparencyTerm,Purpose Transparency Term,Term that indicates transparency regarding purposes involved for processing of data and technologies as an obligation,p7012:TransparencyTerm,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyRequired,Purpose Transparency Required,Term that indicates transparency regarding purposes is obligated,,"p7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyExAnte,Purpose Transparency Ex Ante,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated ahead of intended process i.e. ex-ante transparency regarding purposes involved for processing of data and technologies,p7012:PurposeTransparencyRequired,"p7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyExPost,Purpose Transparency Ex Post,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated after intended process i.e. ex-post transparency regarding purposes involved for processing of data and technologies,p7012:PurposeTransparencyRequired,"p7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyOnRequest,Purpose Transparency On Request,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated upon request,p7012:PurposeTransparencyRequired,"p7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyNotRequired,Purpose Transparency Not Required,Term that indicates transparency regarding purposes involved for processing of data and technologies is not required to be provided,,p7012:PurposeTransparencyTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartyTransparencyTerm,Party Transparency Term,Term that indicates transparency regarding identities and involvement of parties in specific roles as an obligation,p7012:TransparencyTerm,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyRequired,Party Transparency Required,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated,,"p7012:PartyTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyExAnte,Party Transparency Ex Ante,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated ahead of intended process i.e. ex-ante transparency regarding identities and involvement of parties in specific roles,p7012:PartyTransparencyRequired,"p7012:PartyTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyExPost,Party Transparency Ex Post,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated after intended process i.e. ex-post transparency regarding identities and involvement of parties in specific roles,p7012:PartyTransparencyRequired,"p7012:PartyTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyOnRequest,Party Transparency On Request,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated upon request,p7012:PartyTransparencyRequired,"p7012:PartyTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyNotRequired,Party Transparency Not Required,Term that indicates transparency regarding identities and involvement of parties in specific roles is not required to be provided,,p7012:PartyTransparencyTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataTransparencyTerm,Data Transparency Term,Term that indicates transparency regarding data involved and its source as an obligation,p7012:TransparencyTerm,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyRequired,Data Transparency Required,Term that indicates transparency regarding data involved and its source is obligated,,"p7012:DataTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyExAnte,Data Transparency Ex Ante,Term that indicates transparency regarding data involved and its source is obligated ahead of intended process i.e. ex-ante transparency regarding data involved and its source,p7012:DataTransparencyRequired,"p7012:DataTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyExPost,Data Transparency Ex Post,Term that indicates transparency regarding data involved and its source is obligated after intended process i.e. ex-post transparency regarding data involved and its source,p7012:DataTransparencyRequired,"p7012:DataTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyOnRequest,Data Transparency On Request,Term that indicates transparency regarding data involved and its source is obligated upon request,p7012:DataTransparencyRequired,"p7012:DataTransparencyTerm,dpv:Obligation",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyNotRequired,Data Transparency Not Required,Term that indicates transparency regarding data involved and its source is not required to be provided,,p7012:DataTransparencyTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
