Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
DPA-DE-BB,The state representative for data protection and the right to inspect files in Brandenburg,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-BB,https://www.lda.brandenburg.de/,"legal-de:law-BDSG,legal-de:law-BE-BbgDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-BE,Berlin Commissioner for Data Protection and Freedom of Information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-BE,https://www.datenschutz-berlin.de/,"legal-de:law-BDSG,legal-de:law-BE-BlnDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-BY-non-public,Bavarian State Office for Data Protection Supervision,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-BY,https://www.lda.bayern.de/,"legal-de:law-BDSG,legal-de:law-BY-BayDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-BY-public,The Bavarian State Commissioner for Data Protection,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-BY,https://www.datenschutz-bayern.de/,"legal-de:law-BDSG,legal-de:law-BY-BayDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-HB,The State Commissioner for Data Protection and Freedom of Information of the Free Hanseatic City of Bremen,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-HB,https://www.datenschutz.bremen.de/,"legal-de:law-BDSG,legal-de:law-HB-BremDSGVOAG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-HE,The Hessian Commissioner for Data Protection and Freedom of Information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-HE,https://www.datenschutz.hessen.de/,"legal-de:law-BDSG,legal-de:law-HE-HDISG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-HH,The Hamburg Commissioner for Data Protection and Freedom of Information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-HH,https://www.datenschutz-hamburg.de/,"legal-de:law-BDSG,legal-de:law-HH-HmbDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-MV,The State Commissioner for Data Protection and Freedom of Information Mecklenburg-West Pomerania,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-MV,https://www.datenschutz-mv.de/,"legal-de:law-BDSG,legal-de:law-MV-DSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-NI,The State Commissioner for Data Protection Lower Saxony,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-NI,https://www.lfd.niedersachsen.de/,"legal-de:law-BDSG,legal-de:law-NI-NDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-NW,State Commissioner for Data Protection and Freedom of Information North Rhine-Westphalia,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-NW,https://www.ldi.nrw.de/,"legal-de:law-BDSG,legal-de:law-NW-DSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-RP,The state commissioner for data protection and freedom of information in Rhineland-Palatinate,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-RP,https://www.datenschutz.rlp.de/,"legal-de:law-BDSG,legal-de:law-RP-LDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-SH,Independent State Center for Data Protection Schleswig-Holstein,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-SH,https://www.datenschutzzentrum.de/,"legal-de:law-BDSG,legal-de:law-SH-LDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-SL,Independent Data Protection Center Saarland - State Commissioner for Data Protection and Freedom of Information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-SL,https://www.datenschutz.saarland.de/,"legal-de:law-BDSG,legal-de:law-SL-SDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-SN,The Saxon data protection officer,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-SN,https://www.saechsdsb.de/,"legal-de:law-BDSG,legal-de:law-SN-SächsDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-ST,State representative for data protection in Saxony-Anhalt,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-ST,https://datenschutz.sachsen-anhalt.de/,"legal-de:law-BDSG,legal-de:law-LSA-DSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
DPA-DE-TH,Thuringia state commissioner for data protection and freedom of information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE-TH,https://www.tlfdi.de/,"legal-de:law-BDSG,legal-de:law-TH-ThürDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,

German Labels,,,,,,,,,,,,
BDSG,Bundesdatenschutzgesetz (BDSG),,,,,,,,,,,
BE-BbgDSG,Brandenburgisches Datenschutzgesetz (BbgDSG),,,,,,,,,,,
BE-BlnDSG,Berliner Datenschutzgesetz (BlnDSG),,,,,,,,,,,
BW-LDSG,Landesdatenschutzgesetz (LDSG) (BW),,,,,,,,,,,
BY-BayDSG,Bayerisches Datenschutzgesetz (BayDSG),,,,,,,,,,,
HB-BremDSGVOAG,Bremisches Ausführungsgesetz zur EU-Datenschutz-Grundverordnung (BremDSGVOAG),,,,,,,,,,,
HE-HDISG,Hessisches Datenschutz- und Informationsfreiheitsgesetz (HDSIG),,,,,,,,,,,
HH-HmbDSG,Hamburgisches Datenschutzgesetz (HmbDSG),,,,,,,,,,,
LSA-DSG,Gesetz zum Schutz personenbezogener Daten der Bürger (Datenschutzgesetz Sachsen-Anhalt - DSG LSA),,,,,,,,,,,
MV-DSG,Gesetz zur Anpassung des Landesdatenschutzgesetzes und weiterer datenschutzrechtlicher Vorschriften im Zuständigkeitsbereich des Ministeriums für Inneres und Europa Mecklenburg-Vorpommern an die Verordnung (EU) 2016/679 und zur Umsetzung der Richtlinie (EU) 2016/680,,,,,,,,,,,
NI-NDSG,Niedersächsisches Datenschutzgesetz (NDSG),,,,,,,,,,,
NW-DSG,Datenschutzgesetz Nordrhein-Westfalen (DSG NRW),,,,,,,,,,,
RP-LDSG,Landesdatenschutzgesetz (LDSG),,,,,,,,,,,
SH-LDSG,Schleswig-Holsteinisches Gesetz zum Schutz personenbezogener Daten (Landesdatenschutzgesetz - LDSG),,,,,,,,,,,
SL-SDSG,Saarländisches Datenschutzgesetz,,,,,,,,,,,
SN-SächsDSG,Gesetz zum Schutz der informationellen Selbstbestimmung im Freistaat Sachsen (Sächsisches Datenschutzgesetz – SächsDSG),,,,,,,,,,,
TH-ThürDSG,Thüringer Datenschutzgesetz (ThürDSG),,,,,,,,,,,
DPA-DE,,,,,,,,,,,,
DPA-DE-BB,Die Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht Brandenburg,,,,,,,,,,,
DPA-DE-BE,Berliner Beauftragte für Datenschutz und Informationsfreiheit,,,,,,,,,,,
DPA-DE-BY-non-public,Bayerisches Landesamt für Datenschutzaufsicht,,,,,,,,,,,
DPA-DE-BY-public,Der Bayerische Landesbeauftragte für den Datenschutz,,,,,,,,,,,
DPA-DE-HB,Die Landesbeauftragte für Datenschutz und Informationsfreiheit der Freien Hansestadt Bremen,,,,,,,,,,,
DPA-DE-HE,Der Hessische Beauftragte für Datenschutz und Informationsfreiheit,,,,,,,,,,,
DPA-DE-HH,Der Hamburgische Beauftragte für Datenschutz und Informationsfreiheit,,,,,,,,,,,
DPA-DE-MV,Der Landesbeauftragte für Datenschutz und Informationsfreiheit Mecklenburg-Vorpommern,,,,,,,,,,,
DPA-DE-NI,Die Landesbeauftragte für den Datenschutz Niedersachsen,,,,,,,,,,,
DPA-DE-NW,Landesbeauftragte für Datenschutz und Informationsfreiheit Nordrhein-Westfalen,,,,,,,,,,,
DPA-DE-RP,Der Landesbeauftragte für den Datenschutz und die Informationsfreiheit Rheinland-Pfalz,,,,,,,,,,,
DPA-DE-SH,Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein,,,,,,,,,,,
DPA-DE-SL,Unabhängiges Datenschutzzentrum Saarland - Landesbeauftragte für Datenschutz und Informationsfreiheit,,,,,,,,,,,
DPA-DE-SN,Die Sächsische Datenschutzbeauftragte,,,,,,,,,,,
DPA-DE-ST,Landesbeauftragter für den Datenschutz Sachsen-Anhalt,,,,,,,,,,,
DPA-DE-TH,Thüringer Landesbeauftragter für den Datenschutz und die Informationsfreiheit,,,,,,,,,,,
