Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Frequency,Frequency,The frequency or information about periods and repetitions in terms of recurrence.,dpv:Context,sc,,,,,,2022-02-16,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,,,
ContinuousFrequency,Continuous Frequency,Frequency where occurrences are continuous,,dpv:Frequency,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
OftenFrequency,Often Frequency,"Frequency where occurrences are often or frequent, but not continuous",,dpv:Frequency,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
SporadicFrequency,Sporadic Frequency,Frequency where occurrences are sporadic or infrequent or sparse,,dpv:Frequency,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
SingularFrequency,Singular Frequency,Frequency where occurrences are singular i.e. they take place only once,,dpv:Frequency,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
Duration,Duration,The duration or temporal limitation,dpv:Context,sc,,,,,,2022-02-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,,,
IndeterminateDuration,Indeterminate Duration,Duration that is indeterminate or cannot be determined,,dpv:Duration,,,,"Indeterminate means (exact or otherwise) information about the duration cannot be determined, which is distinct from 'EndlessDuration' where it is known (or decided) that the duration is open-ended or without an end. ",,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EndlessDuration,Endless Duration,Duration that is (known or intended to be) open ended or without an end,,dpv:Duration,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
TemporalDuration,Temporal Duration,Duration that has a fixed temporal duration e.g. 6 months,dpv:Duration,sc,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
UntilEventDuration,Until Event Duration,Duration that takes place until a specific event occurs e.g. Account Closure,dpv:Duration,sc,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
UntilTimeDuration,Until Time Duration,Duration that has a fixed end date e.g. 2022-12-31,dpv:Duration,sc,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
FixedOccurrencesDuration,Fixed Occurrences Duration,Duration that takes place a fixed number of times e.g. 3 times,dpv:Duration,sc,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
PurposeDuration,Purpose Duration,The duration associated with fulfilment or carrying out purpose(s),dpv:Duration,sc,,,,,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
ConsentDuration,Consent Duration,The duration associated with fulfilment or validity of consenting decision(s),dpv:Duration,sc,,,,,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
ContractDuration,Contract Duration,The duration associated with fulfilment or carrying out contract(s),dpv:Duration,sc,,,,,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
Occurrenace,Occurrence,The occurrence of something in terms of when it occurs or applies ,dpv:Context,sc,,,,Useful to signal whether some processing or purpose is applicable as an initial or subsequent context,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
InitialOccurence,Initial Occurrence,Indication that the specified context has an initial occurrence or that it applies initially or at the beginning,dpv:Occurence,sc,,,,,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
SubsequentOccurence,Subsequent Occurrence,Indication that the specified context has a subsequent occurrence or that it applies after the initial occurrence or not at the beginning,dpv:Occurence,sc,,,,,,,,proposed,"Harshvardhan J. Pandit, Piero Bonatti",,,,,,,,,,,,,,
Applicability,Applicability,"Concept provided to represent indication of cases where the information or context is not applicable (N/A) or not available or this is not known or determined yet. If the information is applicable and available, this concept should not be used.",dpv:Context,sc,,,,"These concepts are useful in closed-world interpretations, for example in forms where a field must have a value to explicitly denote it is not applicable or the information is not available yet. ",,2023-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
UnknownApplicability,Unknown Applicability,Concept indicating information or context availability is unknown i.e. it is not known if the information exists or is applicable and therefore statements about its availability cannot be made (yet),dpv:Applicability,a,,,,"This concept is useful when describing situations where it cannot be stated whether the context applies or whether the information is not available yet. For example, if a form field asks about whether a process X was completed and it is not yet known whether X applies or not and therefore it is also unclear whether X was completed or not. Using UnknownApplicability is a signal that the applicability of X should be assessed, and if applicable, then information about X should be identified and used here.",,2023-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
NotApplicable,Not Applicable,Concept indicating the information or context is not applicable,dpv:Applicability,a,,,,This relates to a 'Stop' state as distinct from a 'Halt' state. It makes no comments on whether the Activity can be resumed or continued towards completion.,,2023-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
NotAvailable,Not Available,Concept indicating the information or context is applicable but information is not yet available,dpv:Applicability,a,,,,"This concept is useful when describing situations where information is required but is not available (yet). For example, if in a form a field asks about whether a process X was completed, and it is correct to interpret that process X is applicable and must be completed, but the information is not yet available as to whether this was done - then NotAvailable is useful to represent this.",,2023-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FeeRequirement,Fee Requirement,Concept indicating whether a fee is required,dpv:Context,sc,,,,,,2024-08-27,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",
FeeRequired,Fee Required,Concept indicating a fee is required. The value of the fee should be specified using rdf:value or an another relevant means,dpv:FeeRequirement,sc,,,,,,2024-08-27,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",
FeeNotRequired,Fee Not Required,Concept indicating a fee is not required. This is distinct from a Fee of zero as it indicates a fee is not applicable in the context,dpv:FeeRequirement,a,,,,,,2024-08-27,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",
