Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
BruteForceAuthorisations,Brute Force Authorisations,Concept representing Brute Force Authorisations i.e. bypassing authorisations through brute forcing techniques,risk:SecurityAttack,dpv:RiskConcept,,"S,R","C,I",,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaliciousCodeAttack,Malicious Code Attack,Concept representing Malicious Code Attack,risk:SecurityAttack,dpv:RiskConcept,,"S,R","C,I,A",,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MalwareAttack,Malware Attack,Concept representing Malware Attack,risk:SecurityAttack,dpv:RiskConcept,,"S,R","C,I,A",,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SystemIntrusion,System Intrusion,Concept representing System Intrusion,risk:SecurityAttack,dpv:RiskConcept,,"S,R","C,I,A",,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedActivity,Unauthorised Activity,Concept representing Unauthorised Activity,risk:ExternalSecurityThreat,dpv:RiskConcept,,"S,R,C","C,I,A",,,,,,,accepted,,,,,,,,,,,,,,,,,,,
UnauthorisedAccesstoPremises,Unauthorised Access to Premises,Concept representing Unauthorised Access to Premises,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C","C,I,A",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedCodeAccess,Unauthorised Code Access,Concept representing Unauthorised Code Access,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C","C,I",,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedCodeDisclosure,Unauthorised Code Disclosure,Concept representing Unauthorised Code Disclosure,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedCodeModification,Unauthorised Code Modification,Concept representing Unauthorised Code Modification,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",I,,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedDataAccess,Unauthorised Data Access,Concept representing Unauthorised Data Access,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedDataDisclosure,Unauthorised Data Disclosure,Concept representing Unauthorised Data Disclosure,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedDataModification,Unauthorised Data Modification,Concept representing Unauthorised Data Modification,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",I,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedInformationDisclosure,Unauthorised Information Disclosure,Concept representing Unauthorised Information Disclosure,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedReidentification,Unauthorised Re-Identification,Concept representing Unauthorised Re-Identification,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,,2022-08-19,2024-08-16,accepted,Georg P. Krog,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedResourceUse,Unauthorised Resource Use,Concept representing Unauthorised Resource Use,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",A,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedSystemAccess,Unauthorised System Access,Concept representing Unauthorised System Access,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C","C,I",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnauthorisedSystemModification,Unauthorised System Modification,Concept representing Unauthorised System Modification,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",I,,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnwantedCodeDeletion,Unwanted Code Deletion,Concept representing Unwanted Code Deletion,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C","I,A",,,,"(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnwantedDataDeletion,Unwanted Data Deletion,Concept representing Unwanted Data Deletion,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C","I,A",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UnwantedDisclosureData,Unwanted Disclosure of Data,Concept representing Unwanted Disclosure of Data,risk:UnauthorisedActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaliciousActivity,Malicious Activity,"Intentional actions designed to harm, exploit, manipulate, or disrupt individuals, systems, or organizations for personal gain or detriment to others",risk:ExternalSecurityThreat,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Spoofing,Spoofing,Concept representing Spoofing,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C","C,I",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Sabotage,Sabotage,Concept representing Sabotage,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C","I,A",,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Blackmail,Blackmail,Concept representing Blackmail,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Coercion,Coercion,Concept representing Coercion,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Extorsion,Extorsion,Concept representing Extorsion,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Fraud,Fraud,Concept representing Fraud,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Scam,Scam,Concept representing Scam,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PhishingScam,Phishing Scam,Concept representing Phishing Scam,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Threat Landscape for Ransomware Attacks 2022,https://www.enisa.europa.eu/publications/enisa-threat-landscape-for-ransomware-attacks)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
InterceptCommunications,Intercept Communications,Concept representing Interception of Communications,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,"This concept was called ""InterceptionCommunications"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IdentityFraud,Identity Fraud,Concept representing Identity Fraud,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IdentityTheft,Identity Theft,Concept representing Identity Theft,risk:MaliciousActivity,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CompromiseAccount,Compromise Account,Concept representing a compromised account that is then used by the compromiser,risk:ExternalSecurityThreat,dpv:RiskConcept,,"S,R,C","C,I,A",,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CompromiseAccountCredentials,Compromise Account Credentials,Concept representing Account Credentials to be compromised,risk:ExternalSecurityThreat,dpv:RiskConcept,,"S,R,C",C,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperationalSecurityRisk,Operational Security Risk,Risks and issues that arise during operational processes,risk:TechnicalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
SecurityBreach,Security Breach,Concept representing Security Breach,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C","C,I,A",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DataBreach,Data Breach,Concept representing Data Breach,risk:SecurityBreach,dpv:RiskConcept,,"S,R,C","C,I,A",,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ConfidentialityBreach,Confidentiality Breach,Concept representing a breach of confidentiality,risk:DataBreach,dpv:RiskConcept,,"S,R,C",C,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IntegrityBreach,Integrity Breachj,Concept representing a breach of integrity,risk:DataBreach,dpv:RiskConcept,,"S,R,C",I,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
AvailabilityBreach,Availability Breach,Concept representing a breach of availability,risk:DataBreach,dpv:RiskConcept,,"S,R,C",A,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
DataCorruption,Data Corruption,Concept representing Corruption of Data,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",I,,,"This concept was called ""Corruption Data"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AuthorisationFailure,Authorisation Failure,Concept representing Authorisation Failure,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R","C,I",,,,"(ENISa Trust Services Security Incidents 2021,https://www.enisa.europa.eu/publications/trust-services-security-incidents-2021)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Reidentification,Re-identification,Concept representing Re-identification,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",C,,,Use this concept for reidentification in an internal context. For reidentification performed by external entities see concept UnauthorisedReidentification,,2022-08-19,2024-08-16,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
EquipmentFailure,Equipment Failure,Concept representing Equipment Failure,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here equipment refers to physical equipment,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
EquipmentMalfunction,Equipment Malfunction,Concept representing Equipment Malfunction,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here equipment refers to physical equipment,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SystemFailure,System Failure,Concept representing System Failure,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here system refers to both hardware and software systems,"(ENISA Threat Landscape for Ransomware Attacks 2022,https://www.enisa.europa.eu/publications/enisa-threat-landscape-for-ransomware-attacks)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SystemMalfunction,System Malfunction,Concept representing System Malfunction,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here system refers to both hardware and software systems,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ComponentFailure,Component Failure,Concept representing Component Failure,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here component refers to both physical and virtual components. The failure of a component may or may not also cause a failure in other related components or the systems they are part of,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ComponentMalfunction,Component Malfunction,Concept representing Component Malfunction,risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",A,,,Here component refers to both physical and virtual components. The malfunction of a component may or may not also cause a malfunction in other related components or the systems they are part of,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TaskExecutionRisk,Task Execution Risk,"Concept representing risks and issues associated with execution of tasks, operations, activities, and other similar processes",risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",I,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
TaskOmmitted,Task Ommitted,Concept representing omission of task(s),risk:TaskExecutionRisk,dpv:RiskConcept,,"S,R,C","I,A",,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
TaskExecutionIncorrect,Task Execution Incorrect,Concept representing incorrect execution of task(s),risk:TaskExecutionRisk,dpv:RiskConcept,,"S,R,C","I,A",,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
TaskTimingIncorrect,Task Timing Incorrect,Concept representing incorrect timing for task(s) i.e. the task execution does not occur at the correct time,risk:TaskExecutionRisk,dpv:RiskConcept,,"S,R,C","I,A",,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,

OrganisationalManagementRisk,Organisational Management Risk,Concept representing issues and risks associated with the management of operations and resources by the organisation,risk:OrganisationalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
