Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
DPABreachNotificationNeeded,DPA Breach Notification Needed,Data Breach notification to the DPA is required,,eu-gdpr:DataBreachNoticeRequirement,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
DataSubjectBreachNotificationNeeded,Data Subject Breach Notification Needed,Data Breach notification to the Data Subject is required,,eu-gdpr:DataBreachNoticeRequirement,,,,,GDPR Article 34,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
ControllerBreachNotificationNeeded,Controller Breach Notification Needed,Data Breach notification to the Controller is required,,eu-gdpr:DataBreachNoticeRequirement,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
ProcessorBreachNotificationNeeded,Processor Breach Notification Needed,Data Breach notification to the Processor is required,,eu-gdpr:DataBreachNoticeRequirement,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
BreachNotificationNotNeeded,Breach Notification Not Needed,Data Breach notifications to DPA or Data Subjects are not required,,eu-gdpr:DataBreachNoticeRequirement,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachNotice,Data Breach Notice,Notice associated with data breach providing information in compliance with GDPR,dpv:DataBreachNotice,sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DPABreachNotice,DPA Breach Notice,Notice regarding a data breach to the DPA,,eu-gdpr:DataBreachNotice,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DPABreachInitialNotice,DPA Breach Initial Notice,"Notice sent by a Controller within 72 hours of becoming aware of a personal data breach to the competent DPA, with justifications provided where the notice is made after 72 hours",eu-gdpr:DPABreachNotice,eu-gdpr:DataBreachNotice,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DPAPhasedBreachNotice,DPA Phased Breach Notice,Notice sent to a DPA in phases i.e. by providing incremental information as it becomes available or is requested following previously submitted notifications,eu-gdpr:DPABreachNotice,eu-gdpr:DataBreachNotice,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DPABundledBreachNotice,DPA Bundled Breach Notice,Notice sent by a Controller to the DPA regarding multiple data breaches concerning the same type of personal data,eu-gdpr:DPABreachNotice,eu-gdpr:DataBreachNotice,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataSubjectBreachNotice,Data Subject Breach Notice,Notice regarding a data breach to the Data Subject,,eu-gdpr:DataBreachNotice,,,,,GDPR Article 34,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
ControllerBreachNotice,Controller Breach Notice,Notice regarding a data breach to the Controller,,eu-gdpr:DataBreachNotice,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
ProcessorBreachNotice,Processor Breach Notice,Notice regarding a data breach to the Processor,,eu-gdpr:DataBreachNotice,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachReport,Data Breach Report,"Documented information about a data breach incident, its handling, assessments, and notifications",risk:IncidentReport,sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachDetectionReport,Data Breach Detection Report,Documented information about a data breach being detected,"eu-gdpr:DataBreachReport,risk:IncidentDetectionReport",sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachPreliminaryReport,Data Breach Preliminary Report,Documented information about preliminary assessment regarding a data breach,"eu-gdpr:DataBreachReport,risk:IncidentAssessmentReport",sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachOngoingReport,Data Breach Ongoing Report,Documented information about an ongoing data breach,"eu-gdpr:DataBreachReport,risk:IncidentAssessmentReport",sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachConcludingReport,Data Breach Concluding Report,Documented information about a concluded data breach incident,"eu-gdpr:DataBreachReport,risk:IncidentHandlingReport",sc,,,,,GDPR Article 33,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachRegister,Data Breach Register,"Register of data breaches containing facts relating to the personal data breach, its effects and the remedial action taken",dpv:RecordsOfActivities,sc,,,,,GDPR Article 33(5),2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DataBreachJustification,Data Breach Justification,A Justification used in the context of data breach related processes and communications,,dpv:Justification,,,,,,2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JustificationA33RiskUnlikely,Justification A33 - Risk Unlikely,Justification that the notification about personal data breach was not communicated to the authority as it is unlikely to result in a risk to the rights and freedoms of natural persons,"eu-gdpr:DataBreachJustification,justifications:RightsFreedomsImpactUnlikely",dpv:Justification,,,,,GDPR Article33(1),2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JustificationA33NotificationDelay,Justification A33 - Notification Delay,Justification for why the notification about personal data breach to the authority was not communicated within 72 hours after having become aware of it,"eu-gdpr:DataBreachJustification,justifications:DelayJustification",dpv:Justification,,,,,GDPR Article33(1),2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JustificationA33BreachedDataIneffective,Justification A33 - Breached Data Ineffective,"Justification that the personal data breach was not communicated to the data subject as the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption i.e. the breached data cannot be effectively used","eu-gdpr:DataBreachJustification,justifications:ProcessSafeguarded",dpv:Justification,,,,,GDPR Article33(3a),2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JustificationA33RiskMitigated,Justification A33 - Risk Mitigated,Justification that the personal data breach was not communicated to the data subject as the controller has taken subsequent measures which ensure that the high risk to the rights and freedoms of data subjects is no longer likely to materialise,"eu-gdpr:DataBreachJustification,justifications:RiskMitigated",dpv:Justification,,,,,GDPR Article33(3b),2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JustificationA33DisproportionateEffort,Justification A33 - Disproportionate Effort,"Justification that the personal data breach was not communicated to the data subject as it would involve disproportionate effort, and that a public communication or similar measure whereby the data subjects are informed in an equally effective manner has been deployed","eu-gdpr:DataBreachJustification,justifications:DisproportionateEffortRequired",dpv:Justification,,,,,GDPR Article33(3c),2024-12-17,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
