Term,dct:alternative,dct:title,dct:identifier,dct:description,dct:publisher,dct:issued,dct:replaces,dct:isVersionOf,dct:requires,dct:subject,dct:coverage,source,status,contributor,resolution
ISO-IEC-9798-1-2010,ISO/IEC 9798-1:2010,ISO/IEC 9798-1:2010 Information technology - Security techniques - Entity authentication - Part 1: General,9798,,,,,,,,,https://www.iso.org/standard/53634.html,,,
ISO-IEC-9798-2-2019,ISO/IEC 9798-2:2019,ISO/IEC 9798-2:2019 IT Security techniques - Entity authentication - Part 2: Mechanisms using authenticated encryption,9798,,,,,,,,,https://www.iso.org/standard/67114.html,,,
ISO-IEC-9798-3-2019,ISO/IEC 9798-3:2019,ISO/IEC 9798-3:2019 IT Security techniques - Entity authentication - Part 3: Mechanisms using digital signature techniques,9798,,,,,,,,,https://www.iso.org/standard/67115.html,,,
ISO-IEC-9798-4-1999,ISO/IEC 9798-4:1999,ISO/IEC 9798-4:1999 Information technology - Security techniques - Entity authentication - Part 4: Mechanisms using a cryptographic check function,9798,,,,,,,,,https://www.iso.org/standard/31488.html,,,
ISO-IEC-9798-4-1999-Cor-1-2009,ISO/IEC 9798-4:1999/Cor 1:2009,ISO/IEC 9798-4:1999/Cor 1:2009 Information technology - Security techniques - Entity authentication - Part 4: Mechanisms using a cryptographic check function - Technical Corrigendum 1,9798,,,,,,,,,https://www.iso.org/standard/53471.html,,,
ISO-IEC-9798-4-1999-Cor-2-2012,ISO/IEC 9798-4:1999/Cor 2:2012,ISO/IEC 9798-4:1999/Cor 2:2012 Information technology - Security techniques - Entity authentication - Part 4: Mechanisms using a cryptographic check function - Technical Corrigendum 2,9798,,,,,,,,,https://www.iso.org/standard/61191.html,,,
ISO-IEC-9798-5-2009,ISO/IEC 9798-5:2009,ISO/IEC 9798-5:2009 Information technology - Security techniques - Entity authentication - Part 5: Mechanisms using zero-knowledge techniques,9798,,,,,,,,,https://www.iso.org/standard/50456.html,,,
ISO-IEC-9798-6-2010,ISO/IEC 9798-6:2010,ISO/IEC 9798-6:2010 Information technology - Security techniques - Entity authentication - Part 6: Mechanisms using manual data transfer,9798,,,,,,,,,https://www.iso.org/standard/54529.html,,,
ISO-IEC-10116-2017,ISO/IEC 10116:2017,ISO/IEC 10116:2017 Information technology - Security techniques - Modes of operation for an n-bit block cipher,10116,,,,,,,,,https://www.iso.org/standard/64575.html,,,
ISO-IEC-10116-2017-Amd-1-2021,ISO/IEC 10116:2017/Amd 1:2021,ISO/IEC 10116:2017/Amd 1:2021 Information technology - Security techniques - Modes of operation for an n-bit block cipher - Amendment 1: CTR-ACPKM mode of operation,10116,,,,,,,,,https://www.iso.org/standard/78747.html,,,
ISO-IEC-10118-1-2016,ISO/IEC 10118-1:2016,ISO/IEC 10118-1:2016 Information technology - Security techniques - Hash-functions - Part 1: General,10118,,,,,,,,,https://www.iso.org/standard/64213.html,,,
ISO-IEC-10118-1-2016-Amd-1-2021,ISO/IEC 10118-1:2016/Amd 1:2021,ISO/IEC 10118-1:2016/Amd 1:2021 Information technology - Security techniques - Hash-functions - Part 1: General - Amendment 1: Padding methods for sponge functions,10118,,,,,,,,,https://www.iso.org/standard/78749.html,,,
ISO-IEC-10118-2-2010,ISO/IEC 10118-2:2010,ISO/IEC 10118-2:2010 Information technology - Security techniques - Hash-functions - Part 2: Hash-functions using an n-bit block cipher,10118,,,,,,,,,https://www.iso.org/standard/44737.html,,,
ISO-IEC-10118-2-2010-Cor-1-2011,ISO/IEC 10118-2:2010/Cor 1:2011,ISO/IEC 10118-2:2010/Cor 1:2011 Information technology - Security techniques - Hash-functions - Part 2: Hash-functions using an n-bit block cipher - Technical Corrigendum 1,10118,,,,,,,,,https://www.iso.org/standard/59994.html,,,
ISO-IEC-10118-3-2018,ISO/IEC 10118-3:2018,ISO/IEC 10118-3:2018 IT Security techniques - Hash-functions - Part 3: Dedicated hash-functions,10118,,,,,,,,,https://www.iso.org/standard/67116.html,,,
ISO-IEC-10118-4-1998,ISO/IEC 10118-4:1998,ISO/IEC 10118-4:1998 Information technology - Security techniques - Hash-functions - Part 4: Hash-functions using modular arithmetic,10118,,,,,,,,,https://www.iso.org/standard/25429.html,,,
ISO-IEC-10118-4-1998-Amd-1-2014,ISO/IEC 10118-4:1998/Amd 1:2014,ISO/IEC 10118-4:1998/Amd 1:2014 Information technology - Security techniques - Hash-functions - Part 4: Hash-functions using modular arithmetic - Amendment 1: Object identifiers,10118,,,,,,,,,https://www.iso.org/standard/62543.html,,,
ISO-IEC-10118-4-1998-Cor-1-2014,ISO/IEC 10118-4:1998/Cor 1:2014,ISO/IEC 10118-4:1998/Cor 1:2014 Information technology - Security techniques - Hash-functions - Part 4: Hash-functions using modular arithmetic - Technical Corrigendum 1,10118,,,,,,,,,https://www.iso.org/standard/65665.html,,,
ISO-IEC-11770-1-2010,ISO/IEC 11770-1:2010,ISO/IEC 11770-1:2010 Information technology - Security techniques - Key management - Part 1: Framework,11770,,,,,,,,,https://www.iso.org/standard/53456.html,,,
ISO-IEC-11770-2-2018,ISO/IEC 11770-2:2018,ISO/IEC 11770-2:2018 IT Security techniques - Key management - Part 2: Mechanisms using symmetric techniques,11770,,,,,,,,,https://www.iso.org/standard/73207.html,,,
ISO-IEC-11770-3-2021,ISO/IEC 11770-3:2021,ISO/IEC 11770-3:2021 Information security - Key management - Part 3: Mechanisms using asymmetric techniques,11770,,,,,,,,,https://www.iso.org/standard/82709.html,,,
ISO-IEC-11770-4-2017,ISO/IEC 11770-4:2017,ISO/IEC 11770-4:2017 Information technology - Security techniques - Key management - Part 4: Mechanisms based on weak secrets,11770,,,,,,,,,https://www.iso.org/standard/67933.html,,,
ISO-IEC-11770-4-2017-Amd-1-2019,ISO/IEC 11770-4:2017/Amd 1:2019,ISO/IEC 11770-4:2017/Amd 1:2019 Information technology - Security techniques - Key management - Part 4: Mechanisms based on weak secrets - Amendment 1: Unbalanced Password-Authenticated Key Agreement with Identity-Based Cryptosystems (UPAKA-IBC),11770,,,,,,,,,https://www.iso.org/standard/73902.html,,,
ISO-IEC-11770-4-2017-Amd-2-2021,ISO/IEC 11770-4:2017/Amd 2:2021,ISO/IEC 11770-4:2017/Amd 2:2021 Information technology - Security techniques - Key management - Part 4: Mechanisms based on weak secrets - Amendment 2: Leakage-resilient password-authenticated key agreement with additional stored secrets,11770,,,,,,,,,https://www.iso.org/standard/76352.html,,,
ISO-IEC-11770-5-2020,ISO/IEC 11770-5:2020,ISO/IEC 11770-5:2020 Information security - Key management - Part 5: Group key management,11770,,,,,,,,,https://www.iso.org/standard/75295.html,,,
ISO-IEC-11770-6-2016,ISO/IEC 11770-6:2016,ISO/IEC 11770-6:2016 Information technology - Security techniques - Key management - Part 6: Key derivation,11770,,,,,,,,,https://www.iso.org/standard/65275.html,,,
ISO-IEC-11770-7-2021,ISO/IEC 11770-7:2021,ISO/IEC 11770-7:2021 Information security - Key management - Part 7: Cross-domain password-based authenticated key exchange,11770,,,,,,,,,https://www.iso.org/standard/80097.html,,,
ISO-IEC-13888-1-2020,ISO/IEC 13888-1:2020,ISO/IEC 13888-1:2020 Information security - Non-repudiation - Part 1: General,13888,,,,,,,,,https://www.iso.org/standard/76153.html,,,
ISO-IEC-13888-2-2010,ISO/IEC 13888-2:2010,ISO/IEC 13888-2:2010 Information technology - Security techniques - Non-repudiation - Part 2: Mechanisms using symmetric techniques,13888,,,,,,,,,https://www.iso.org/standard/44736.html,,,
ISO-IEC-13888-2-2010-Cor-1-2012,ISO/IEC 13888-2:2010/Cor 1:2012,ISO/IEC 13888-2:2010/Cor 1:2012 Information technology - Security techniques - Non-repudiation - Part 2: Mechanisms using symmetric techniques - Technical Corrigendum 1,13888,,,,,,,,,https://www.iso.org/standard/61263.html,,,
ISO-IEC-13888-3-2020,ISO/IEC 13888-3:2020,ISO/IEC 13888-3:2020 Information security - Non-repudiation - Part 3: Mechanisms using asymmetric techniques,13888,,,,,,,,,https://www.iso.org/standard/76154.html,,,
ISO-IEC-TR-14516-2002,ISO/IEC TR 14516:2002,ISO/IEC TR 14516:2002 Information technology - Security techniques - Guidelines for the use and management of Trusted Third Party services,14516,,,,,,,,,https://www.iso.org/standard/31482.html,,,
ISO-IEC-14888-1-2008,ISO/IEC 14888-1:2008,ISO/IEC 14888-1:2008 Information technology - Security techniques - Digital signatures with appendix - Part 1: General,14888,,,,,,,,,https://www.iso.org/standard/44226.html,,,
ISO-IEC-14888-2-2008,ISO/IEC 14888-2:2008,ISO/IEC 14888-2:2008 Information technology - Security techniques - Digital signatures with appendix - Part 2: Integer factorization based mechanisms,14888,,,,,,,,,https://www.iso.org/standard/44227.html,,,
ISO-IEC-14888-2-2008-Cor-1-2015,ISO/IEC 14888-2:2008/Cor 1:2015,ISO/IEC 14888-2:2008/Cor 1:2015 Information technology - Security techniques - Digital signatures with appendix - Part 2: Integer factorization based mechanisms - Technical Corrigendum 1: To ISO/IEC 14888-2:2008,14888,,,,,,,,,https://www.iso.org/standard/68231.html,,,
ISO-IEC-14888-3-2018,ISO/IEC 14888-3:2018,ISO/IEC 14888-3:2018 IT Security techniques - Digital signatures with appendix - Part 3: Discrete logarithm based mechanisms,14888,,,,,,,,,https://www.iso.org/standard/76382.html,,,
ISO-IEC-15408-1-2022,ISO/IEC 15408-1:2022,"ISO/IEC 15408-1:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Part 1: Introduction and general model",15408,,,,,,,,,https://www.iso.org/standard/72891.html,,,
ISO-IEC-15408-2-2022,ISO/IEC 15408-2:2022,"ISO/IEC 15408-2:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Part 2: Security functional components",15408,,,,,,,,,https://www.iso.org/standard/72892.html,,,
ISO-IEC-15408-3-2022,ISO/IEC 15408-3:2022,"ISO/IEC 15408-3:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Part 3: Security assurance components",15408,,,,,,,,,https://www.iso.org/standard/72906.html,,,
ISO-IEC-15408-4-2022,ISO/IEC 15408-4:2022,"ISO/IEC 15408-4:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Part 4: Framework for the specification of evaluation methods and activities",15408,,,,,,,,,https://www.iso.org/standard/72913.html,,,
ISO-IEC-15408-5-2022,ISO/IEC 15408-5:2022,"ISO/IEC 15408-5:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Part 5: Pre-defined packages of security requirements",15408,,,,,,,,,https://www.iso.org/standard/72917.html,,,
ISO-IEC-TR-15443-1-2012,ISO/IEC TR 15443-1:2012,ISO/IEC TR 15443-1:2012 Information technology - Security techniques - Security assurance framework - Part 1: Introduction and concepts,15443,,,,,,,,,https://www.iso.org/standard/59138.html,,,
ISO-IEC-TR-15443-2-2012,ISO/IEC TR 15443-2:2012,ISO/IEC TR 15443-2:2012 Information technology - Security techniques - Security assurance framework - Part 2: Analysis,15443,,,,,,,,,https://www.iso.org/standard/59140.html,,,
ISO-IEC-TR-15446-2017,ISO/IEC TR 15446:2017,ISO/IEC TR 15446:2017 Information technology - Security techniques - Guidance for the production of protection profiles and security targets,15446,,,,,,,,,https://www.iso.org/standard/68904.html,,,
ISO-IEC-15816-2002,ISO/IEC 15816:2002,ISO/IEC 15816:2002 Information technology - Security techniques - Security information objects for access control,15816,,,,,,,,,https://www.iso.org/standard/29139.html,,,
ISO-IEC-15945-2002,ISO/IEC 15945:2002,ISO/IEC 15945:2002 Information technology - Security techniques - Specification of TTP services to support the application of digital signatures,15945,,,,,,,,,https://www.iso.org/standard/29578.html,,,
ISO-IEC-15946-1-2016,ISO/IEC 15946-1:2016,ISO/IEC 15946-1:2016 Information technology - Security techniques - Cryptographic techniques based on elliptic curves - Part 1: General,15946,,,,,,,,,https://www.iso.org/standard/65480.html,,,
ISO-IEC-15946-5-2022,ISO/IEC 15946-5:2022,ISO/IEC 15946-5:2022 Information security - Cryptographic techniques based on elliptic curves - Part 5: Elliptic curve generation,15946,,,,,,,,,https://www.iso.org/standard/80241.html,,,
ISO-IEC-17825-2016,ISO/IEC 17825:2016,ISO/IEC 17825:2016 Information technology - Security techniques - Testing methods for the mitigation of non-invasive attack classes against cryptographic modules,17825,,,,,,,,,https://www.iso.org/standard/60612.html,,,
ISO-IEC-17922-2017,ISO/IEC 17922:2017,ISO/IEC 17922:2017 Information technology - Security techniques - Telebiometric authentication framework using biometric hardware security module,17922,,,,,,,,,https://www.iso.org/standard/61023.html,,,
ISO-IEC-18014-1-2008,ISO/IEC 18014-1:2008,ISO/IEC 18014-1:2008 Information technology - Security techniques - Time-stamping services - Part 1: Framework,18014,,,,,,,,,https://www.iso.org/standard/50678.html,,,
ISO-IEC-18014-2-2021,ISO/IEC 18014-2:2021,ISO/IEC 18014-2:2021 Information security - Time-stamping services - Part 2: Mechanisms producing independent tokens,18014,,,,,,,,,https://www.iso.org/standard/76155.html,,,
ISO-IEC-18014-3-2009,ISO/IEC 18014-3:2009,ISO/IEC 18014-3:2009 Information technology - Security techniques - Time-stamping services - Part 3: Mechanisms producing linked tokens,18014,,,,,,,,,https://www.iso.org/standard/50457.html,,,
ISO-IEC-18014-4-2015,ISO/IEC 18014-4:2015,ISO/IEC 18014-4:2015 Information technology - Security techniques - Time-stamping services - Part 4: Traceability of time sources,18014,,,,,,,,,https://www.iso.org/standard/59934.html,,,
ISO-IEC-18031-2011,ISO/IEC 18031:2011,ISO/IEC 18031:2011 Information technology - Security techniques - Random bit generation,18031,,,,,,,,,https://www.iso.org/standard/54945.html,,,
ISO-IEC-18031-2011-Amd-1-2017,ISO/IEC 18031:2011/Amd 1:2017,ISO/IEC 18031:2011/Amd 1:2017 Information technology - Security techniques - Random bit generation - Amendment 1: Deterministic random bit generation,18031,,,,,,,,,https://www.iso.org/standard/63755.html,,,
ISO-IEC-18031-2011-Cor-1-2014,ISO/IEC 18031:2011/Cor 1:2014,ISO/IEC 18031:2011/Cor 1:2014 Information technology - Security techniques - Random bit generation - Technical Corrigendum 1,18031,,,,,,,,,https://www.iso.org/standard/66558.html,,,
ISO-IEC-18032-2020,ISO/IEC 18032:2020,ISO/IEC 18032:2020 Information security - Prime number generation,18032,,,,,,,,,https://www.iso.org/standard/72009.html,,,
ISO-IEC-18033-1-2021,ISO/IEC 18033-1:2021,ISO/IEC 18033-1:2021 Information security - Encryption algorithms - Part 1: General,18033,,,,,,,,,https://www.iso.org/standard/76156.html,,,
ISO-IEC-18033-2-2006,ISO/IEC 18033-2:2006,ISO/IEC 18033-2:2006 Information technology - Security techniques - Encryption algorithms - Part 2: Asymmetric ciphers,18033,,,,,,,,,https://www.iso.org/standard/37971.html,,,
ISO-IEC-18033-2-2006-Amd-1-2017,ISO/IEC 18033-2:2006/Amd 1:2017,ISO/IEC 18033-2:2006/Amd 1:2017 Information technology - Security techniques - Encryption algorithms - Part 2: Asymmetric ciphers - Amendment 1: FACE,18033,,,,,,,,,https://www.iso.org/standard/71114.html,,,
ISO-IEC-18033-3-2010,ISO/IEC 18033-3:2010,ISO/IEC 18033-3:2010 Information technology - Security techniques - Encryption algorithms - Part 3: Block ciphers,18033,,,,,,,,,https://www.iso.org/standard/54531.html,,,
ISO-IEC-18033-3-2010-Amd-1-2021,ISO/IEC 18033-3:2010/Amd 1:2021,ISO/IEC 18033-3:2010/Amd 1:2021 Information technology - Security techniques - Encryption algorithms - Part 3: Block ciphers - Amendment 1: SM4,18033,,,,,,,,,https://www.iso.org/standard/81564.html,,,
ISO-IEC-18033-4-2011,ISO/IEC 18033-4:2011,ISO/IEC 18033-4:2011 Information technology - Security techniques - Encryption algorithms - Part 4: Stream ciphers,18033,,,,,,,,,https://www.iso.org/standard/54532.html,,,
ISO-IEC-18033-4-2011-Amd-1-2020,ISO/IEC 18033-4:2011/Amd 1:2020,ISO/IEC 18033-4:2011/Amd 1:2020 Information technology - Security techniques - Encryption algorithms - Part 4: Stream ciphers - Amendment 1: ZUC,18033,,,,,,,,,https://www.iso.org/standard/77982.html,,,
ISO-IEC-18033-5-2015,ISO/IEC 18033-5:2015,ISO/IEC 18033-5:2015 Information technology - Security techniques - Encryption algorithms - Part 5: Identity-based ciphers,18033,,,,,,,,,https://www.iso.org/standard/59948.html,,,
ISO-IEC-18033-5-2015-Amd-1-2021,ISO/IEC 18033-5:2015/Amd 1:2021,ISO/IEC 18033-5:2015/Amd 1:2021 Information technology - Security techniques - Encryption algorithms - Part 5: Identity-based ciphers - Amendment 1: SM9 mechanism,18033,,,,,,,,,https://www.iso.org/standard/78751.html,,,
ISO-IEC-18033-6-2019,ISO/IEC 18033-6:2019,ISO/IEC 18033-6:2019 IT Security techniques - Encryption algorithms - Part 6: Homomorphic encryption,18033,,,,,,,,,https://www.iso.org/standard/67740.html,,,
ISO-IEC-18033-7-2022,ISO/IEC 18033-7:2022,ISO/IEC 18033-7:2022 Information security - Encryption algorithms - Part 7: Tweakable block ciphers,18033,,,,,,,,,https://www.iso.org/standard/80505.html,,,
ISO-IEC-18045-2022,ISO/IEC 18045:2022,"ISO/IEC 18045:2022 Information security, cybersecurity and privacy protection - Evaluation criteria for IT security - Methodology for IT security evaluation",18045,,,,,,,,,https://www.iso.org/standard/72889.html,,,
ISO-IEC-18367-2016,ISO/IEC 18367:2016,ISO/IEC 18367:2016 Information technology - Security techniques - Cryptographic algorithms and security mechanisms conformance testing,18367,,,,,,,,,https://www.iso.org/standard/62286.html,,,
ISO-IEC-18370-1-2016,ISO/IEC 18370-1:2016,ISO/IEC 18370-1:2016 Information technology - Security techniques - Blind digital signatures - Part 1: General,18370,,,,,,,,,https://www.iso.org/standard/62288.html,,,
ISO-IEC-18370-2-2016,ISO/IEC 18370-2:2016,ISO/IEC 18370-2:2016 Information technology - Security techniques - Blind digital signatures - Part 2: Discrete logarithm based mechanisms,18370,,,,,,,,,https://www.iso.org/standard/62544.html,,,
ISO-IEC-19086-4-2019,ISO/IEC 19086-4:2019,ISO/IEC 19086-4:2019 Cloud computing - Service level agreement (SLA) framework - Part 4: Components of security and of protection of PII,19086,,,,,,,,,https://www.iso.org/standard/68242.html,,,
ISO-IEC-TS-19249-2017,ISO/IEC TS 19249:2017,"ISO/IEC TS 19249:2017 Information technology - Security techniques - Catalogue of architectural and design principles for secure products, systems and applications",19249,,,,,,,,,https://www.iso.org/standard/64140.html,,,
ISO-IEC-19592-1-2016,ISO/IEC 19592-1:2016,ISO/IEC 19592-1:2016 Information technology - Security techniques - Secret sharing - Part 1: General,19592,,,,,,,,,https://www.iso.org/standard/65422.html,,,
ISO-IEC-19592-2-2017,ISO/IEC 19592-2:2017,ISO/IEC 19592-2:2017 Information technology - Security techniques - Secret sharing - Part 2: Fundamental mechanisms,19592,,,,,,,,,https://www.iso.org/standard/65425.html,,,
ISO-IEC-TS-19608-2018,ISO/IEC TS 19608:2018,ISO/IEC TS 19608:2018 Guidance for developing security and privacy functional requirements based on ISO/IEC 15408,19608,,,,,,,,,https://www.iso.org/standard/65459.html,,,
ISO-IEC-19772-2020,ISO/IEC 19772:2020,ISO/IEC 19772:2020 Information security - Authenticated encryption,19772,,,,,,,,,https://www.iso.org/standard/81550.html,,,
ISO-IEC-19790-2012,ISO/IEC 19790:2012,ISO/IEC 19790:2012 Information technology - Security techniques - Security requirements for cryptographic modules,19790,,,,,,,,,https://www.iso.org/standard/52906.html,,,
ISO-IEC-TR-19791-2010,ISO/IEC TR 19791:2010,ISO/IEC TR 19791:2010 Information technology - Security techniques - Security assessment of operational systems,19791,,,,,,,,,https://www.iso.org/standard/52905.html,,,
ISO-IEC-19792-2009,ISO/IEC 19792:2009,ISO/IEC 19792:2009 Information technology - Security techniques - Security evaluation of biometrics,19792,,,,,,,,,https://www.iso.org/standard/51521.html,,,
ISO-IEC-19896-1-2018,ISO/IEC 19896-1:2018,"ISO/IEC 19896-1:2018 IT security techniques - Competence requirements for information security testers and evaluators - Part 1: Introduction, concepts and general requirements",19896,,,,,,,,,https://www.iso.org/standard/71120.html,,,
ISO-IEC-19896-2-2018,ISO/IEC 19896-2:2018,"ISO/IEC 19896-2:2018 IT security techniques - Competence requirements for information security testers and evaluators - Part 2: Knowledge, skills and effectiveness requirements for ISO/IEC 19790 testers",19896,,,,,,,,,https://www.iso.org/standard/71121.html,,,
ISO-IEC-19896-3-2018,ISO/IEC 19896-3:2018,"ISO/IEC 19896-3:2018 IT security techniques - Competence requirements for information security testers and evaluators - Part 3: Knowledge, skills and effectiveness requirements for ISO/IEC 15408 evaluators",19896,,,,,,,,,https://www.iso.org/standard/71122.html,,,
ISO-IEC-19989-1-2020,ISO/IEC 19989-1:2020,ISO/IEC 19989-1:2020 Information security - Criteria and methodology for security evaluation of biometric systems - Part 1: Framework,19989,,,,,,,,,https://www.iso.org/standard/72402.html,,,
ISO-IEC-19989-2-2020,ISO/IEC 19989-2:2020,ISO/IEC 19989-2:2020 Information security - Criteria and methodology for security evaluation of biometric systems - Part 2: Biometric recognition performance,19989,,,,,,,,,https://www.iso.org/standard/72403.html,,,
ISO-IEC-19989-3-2020,ISO/IEC 19989-3:2020,ISO/IEC 19989-3:2020 Information security - Criteria and methodology for security evaluation of biometric systems - Part 3: Presentation attack detection,19989,,,,,,,,,https://www.iso.org/standard/73721.html,,,
ISO-IEC-TR-20004-2015,ISO/IEC TR 20004:2015,ISO/IEC TR 20004:2015 Information technology - Security techniques - Refining software vulnerability analysis under ISO/IEC 15408 and ISO/IEC 18045,20004,,,,,,,,,https://www.iso.org/standard/68837.html,,,
ISO-IEC-20008-1-2013,ISO/IEC 20008-1:2013,ISO/IEC 20008-1:2013 Information technology - Security techniques - Anonymous digital signatures - Part 1: General,20008,,,,,,,,,https://www.iso.org/standard/57018.html,,,
ISO-IEC-20008-2-2013,ISO/IEC 20008-2:2013,ISO/IEC 20008-2:2013 Information technology - Security techniques - Anonymous digital signatures - Part 2: Mechanisms using a group public key,20008,,,,,,,,,https://www.iso.org/standard/56916.html,,,
ISO-IEC-20008-2-2013-Amd-1-2021,ISO/IEC 20008-2:2013/Amd 1:2021,ISO/IEC 20008-2:2013/Amd 1:2021 Information technology - Security techniques - Anonymous digital signatures - Part 2: Mechanisms using a group public key - Amendment 1,20008,,,,,,,,,https://www.iso.org/standard/80243.html,,,
ISO-IEC-20009-1-2013,ISO/IEC 20009-1:2013,ISO/IEC 20009-1:2013 Information technology - Security techniques - Anonymous entity authentication - Part 1: General,20009,,,,,,,,,https://www.iso.org/standard/57079.html,,,
ISO-IEC-20009-2-2013,ISO/IEC 20009-2:2013,ISO/IEC 20009-2:2013 Information technology - Security techniques - Anonymous entity authentication - Part 2: Mechanisms based on signatures using a group public key,20009,,,,,,,,,https://www.iso.org/standard/56913.html,,,
ISO-IEC-20009-3-2022,ISO/IEC 20009-3:2022,ISO/IEC 20009-3:2022 Information security - Anonymous entity authentication - Part 3: Mechanisms based on blind signatures,20009,,,,,,,,,https://www.iso.org/standard/80615.html,,,
ISO-IEC-20009-4-2017,ISO/IEC 20009-4:2017,ISO/IEC 20009-4:2017 Information technology - Security techniques - Anonymous entity authentication - Part 4: Mechanisms based on weak secrets,20009,,,,,,,,,https://www.iso.org/standard/64288.html,,,
ISO-IEC-20085-1-2019,ISO/IEC 20085-1:2019,ISO/IEC 20085-1:2019 IT Security techniques - Test tool requirements and test tool calibration methods for use in testing non-invasive attack mitigation techniques in cryptographic modules - Part 1: Test tools and techniques,20085,,,,,,,,,https://www.iso.org/standard/70081.html,,,
ISO-IEC-20085-2-2020,ISO/IEC 20085-2:2020,ISO/IEC 20085-2:2020 IT Security techniques - Test tool requirements and test tool calibration methods for use in testing non-invasive attack mitigation techniques in cryptographic modules - Part 2: Test calibration methods and apparatus,20085,,,,,,,,,https://www.iso.org/standard/70082.html,,,
ISO-IEC-TS-20540-2018,ISO/IEC TS 20540:2018,ISO/IEC TS 20540:2018 Information technology - Security techniques - Testing cryptographic modules in their operational environment,20540,,,,,,,,,https://www.iso.org/standard/68294.html,,,
ISO-IEC-20543-2019,ISO/IEC 20543:2019,ISO/IEC 20543:2019 Information technology - Security techniques - Test and analysis methods for random bit generators within ISO/IEC 19790 and ISO/IEC 15408,20543,,,,,,,,,https://www.iso.org/standard/68296.html,,,
ISO-IEC-20547-4-2020,ISO/IEC 20547-4:2020,ISO/IEC 20547-4:2020 Information technology - Big data reference architecture - Part 4: Security and privacy,20547,,,,,,,,,https://www.iso.org/standard/71278.html,,,
ISO-IEC-20889-2018,ISO/IEC 20889:2018,ISO/IEC 20889:2018 Privacy enhancing data de-identification terminology and classification of techniques,20889,,,,,,,,,https://www.iso.org/standard/69373.html,,,
ISO-IEC-20897-1-2020,ISO/IEC 20897-1:2020,"ISO/IEC 20897-1:2020 Information security, cybersecurity and privacy protection - Physically unclonable functions - Part 1: Security requirements",20897,,,,,,,,,https://www.iso.org/standard/76353.html,,,
ISO-IEC-20897-2-2022,ISO/IEC 20897-2:2022,"ISO/IEC 20897-2:2022 Information security, cybersecurity and privacy protection - Physically unclonable functions - Part 2: Test and evaluation methods",20897,,,,,,,,,https://www.iso.org/standard/76354.html,,,
ISO-IEC-21827-2008,ISO/IEC 21827:2008,ISO/IEC 21827:2008 Information technology - Security techniques - Systems Security Engineering - Capability Maturity Model&reg; (SSE-CMM&reg;),21827,,,,,,,,,https://www.iso.org/standard/44716.html,,,
