Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Purpose,Purpose,Purpose or Goal of processing data or using technology,dpv:Concept,a,,spl:AnyPurpose,rdfs:seeAlso,"The purpose or goal here is intended to sufficiently describe the intention or objective of why the data or technology is being used, and should be broader than mere technical descriptions of achieving a capability. For example, ""Analyse Data"" is an abstract purpose with no indication of what the analyses is for as compared to a purpose such as ""Marketing"" or ""Service Provision"" which provide clarity and comprehension of the 'purpose' and can be enhanced with additional descriptions.","(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-04-05,2023-12-10,accepted,"Axel Polleres, Javier Fernández",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CustomerRelationshipManagement,Customer Relationship Management,"Customer Relationship Management refers to purposes associated with managing and analysing interactions with past, current, and potential customers",dpv:CustomerManagement,dpv:Purpose,,,,,,2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz",https://www.w3.org/2020/07/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CustomerSolvencyMonitoring,Customer Solvency Monitoring,Customer Solvency Monitoring refers to purposes associated with monitor solvency of customers for financial diligence,dpv:CustomerManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EnforceSecurity,Enforce Security,"Purposes associated with ensuring and enforcing security for data, personnel, or other related matters",,dpv:Purpose,,,,"Was previous ""Security"". Prefixed to distinguish from TechOrg measures.",,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AntiTerrorismOperations,Anti-Terrorism Operations,"Purposes associated with activities that detect, prevent, mitigate, or perform other activities for anti-terrorism",dpv:EnforceSecurity,dpv:Purpose,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
EnforceAccessControl,Enforce Access Control,Purposes associated with conducting or enforcing access control as a form of security,dpv:EnforceSecurity,dpv:Purpose,,svpu:Login,,"Was previously ""Access Control"". Prefixed to distinguish from Technical Measure.",,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
FraudPreventionAndDetection,Fraud Prevention and Detection,"Purposes associated with fraud detection, prevention, and mitigation",dpv:EnforceSecurity,dpv:Purpose,,svpu:Government,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CounterMoneyLaundering,Counter Money Laundering,"Purposes associated with detection, prevention, and mitigation of mitigate money laundering",dpv:FraudPreventionAndDetection,dpv:Purpose,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaintainFraudDatabase,Maintain Fraud Database,Purposes associated with maintaining a database related to identifying and identified fraud risks and fraud incidents,dpv:FraudPreventionAndDetection,dpv:Purpose,,,,,,2022-06-15,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IdentityVerification,Identity Verification,Purposes associated with verifying or authorising identity as a form of security,dpv:EnforceSecurity,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IdentityAuthentication,Identity Authentication,Purposes associated with performing authentication based on identity as a form of security,dpv:EnforceSecurity,dpv:Purpose,,,,,,2020-11-04,,proposed,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing / Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,Marketing,"Purposes associated with conducting marketing in relation to organisation or products or services e.g. promoting, selling, and distributing ",,dpv:Purpose,,,,"Was commercial interest, changed to consider Marketing a separate Purpose category by itself",,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
DirectMarketing,Direct Marketing,Purposes associated with conducting direct marketing i.e. marketing communicated directly to the individual,dpv:Marketing,dpv:Purpose,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
PublicRelations,Public Relations,"Purposes associated with managing and conducting public relations processes, including creating goodwill for the organisation",dpv:Marketing,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SocialMediaMarketing,Social Media Marketing,Purposes associated with conducting marketing through social media,dpv:Marketing,dpv:Purpose,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
Advertising,Advertising,"Purposes associated with conducting advertising i.e. process or artefact used to call attention to a product, service, etc. through announcements, notices, or other forms of communication",dpv:Marketing,dpv:Purpose,,,,Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads. ,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2020/07/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonalisedAdvertising,Personalised Advertising,Purposes associated with creating and providing personalised advertising,"dpv:Advertising,dpv:Personalisation",dpv:Purpose,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
TargetedAdvertising,Targeted Advertising,Purposes associated with creating and providing pesonalised advertisement where the personalisation is targeted to a specific individual or group of individuals,dpv:PersonalisedAdvertising,dpv:Purpose,,,,,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

OrganisationGovernance,Organisation Governance,Purposes associated with conducting activities and functions for governance of an organisation,,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DisputeManagement,Dispute Management,"Purposes associated with activities that manage disputes by natural persons, private bodies, or public authorities relevant to organisation",dpv:OrganisationGovernance,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MemberPartnerManagement,Members and Partners Management,"Purposes associated with maintaining a registry of shareholders, members, or partners for governance, administration, and management functions",dpv:OrganisationGovernance,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"
Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
OrganisationComplianceManagement,Organisation Compliance Management,Purposes associated with managing compliance for organisation in relation to internal policies,dpv:OrganisationGovernance,dpv:Purpose,,,,Note that this concept relates to internal organisational compliance. The concept LegalCompliance should be used for external legal or regulatory compliance.,,2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
OrganisationRiskManagement,Organisation Risk Management,Purposes associated with managing risk for organisation's activities,dpv:OrganisationGovernance,dpv:Purpose,,,,,,2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
HumanResourceManagement,Human Resource Management,Purposes associated with managing humans and 'human resources' within the organisation for effective and efficient operations.,,dpv:Purpose,,,,"HR is a broad concept. Its management includes, amongst others - recruiting employees and intermediaries e.g. brokers, independent representatives; payroll administration, remunerations, commissions, and wages; and application of social legislation.","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, David Hickey, Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonnelManagement,Personnel Management,Purposes associated with management of personnel associated with the organisation e.g. evaluation and management of employees and intermediaries,dpv:HumanResourceManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2022-03-30,,accepted,"Paul Ryan, Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonnelHiring,Personnel Hiring,Purposes associated with management and execution of hiring processes of personnel,dpv:PersonnelManagement,dpv:Purpose,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonnelPayment,Personnel Payment,Purposes associated with management and execution of payment of personnel,dpv:PersonnelManagement,dpv:Purpose,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RecordManagement,Record Management,"Purposes associated with manage creation, storage, and use of records relevant to operations, events, and processes e.g. to store logs or access requests",,dpv:Purpose,,,,This purpose relates specifiaclly for record creation and management. This can be combined or used along with other purposes to express intentions such as records for legal compliance or vendor payments.,,2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VendorManagement,Vendor Management,"Purposes associated with manage orders, payment, evaluation, and prospecting related to vendors",,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VendorPayment,Vendor Payment,Purposes associated with managing payment of vendors,dpv:VendorManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VendorRecordsManagement,Vendor Records Management,Purposes associated with managing records and orders related to vendors,dpv:VendorManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VendorSelectionAssessment,Vendor Selection Assessment,"Purposes associated with managing selection, assessment, and evaluation related to vendors",dpv:VendorManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-01,,accepted,"Paul Ryan, Georg P Krog, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CreditChecking,Credit Checking,"Purposes associated with monitoring, performing, or assessing credit worthiness or solvency",dpv:CustomerSolvencyMonitoring,dpv:Purpose,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaintainCreditCheckingDatabase,Maintain Credit Checking Database,Purposes associated with maintaining a Credit Checking Database,dpv:CreditChecking,dpv:Purpose,,,,,,2022-06-15,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaintainCreditRatingDatabase,Maintain Credit Rating Database,Purposes associated with maintaining a Credit Rating Database,dpv:CreditChecking,dpv:Purpose,,,,,,2022-06-15,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Personalisation,Personalisation,Purposes associated with creating and providing customisation based on attributes and/or needs of person(s) or context(s).,,dpv:Purpose,,,,"This term is a blanket purpose category for indicating personalisation of some other purpose, e.g. by creating a subclass of the other concept and Personalisation",,2021-09-01,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ServicePersonalisation,Service Personalisation,Purposes associated with providing personalisation within services or product or activities,"dpv:ServiceProvision,dpv:Personalisation",dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ProvideEventRecommendations,Provide Event Recommendations,Purposes associated with creating and providing personalised recommendations for events,dpv:ProvidePersonalisedRecommendations,dpv:Purpose,,,,,"(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-11-26,2022-10-14,accepted,"Harshvardhan J. Pandit, Rudy Jacob",https://www.w3.org/2019/11/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ProvideProductRecommendations,Provide Product Recommendations,Purposes associated with creating and providing product recommendations e.g. suggest similar products,dpv:ProvidePersonalisedRecommendations,dpv:Purpose,,svpu:Marketing,,,,2019-04-05,2022-10-14,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ProvidePersonalisedRecommendations,Provide Personalised Recommendations,Purposes associated with creating and providing personalised recommendations,dpv:ServicePersonalisation,dpv:Purpose,,,,,"(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-11-26,2022-10-14,accepted,"Harshvardhan J. Pandit, Rudy Jacob",https://www.w3.org/2019/11/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonalisedBenefits,Personalised Benefits,Purposes associated with creating and providing personalised benefits for a service,dpv:ServicePersonalisation,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
UserInterfacePersonalisation,User Interface Personalisation,Purposes associated with personalisation of interfaces presented to the user,dpv:ServicePersonalisation,dpv:Purpose,,,,Examples of user-interface personalisation include changing the language to match the locale,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ResearchAndDevelopment,Research and Development,"Purposes associated with conducting research and development for new methods, products, or services",,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AcademicResearch,Academic Research,Purposes associated with conducting or assisting with research conducted in an academic context e.g. within universities,dpv:ResearchAndDevelopment,dpv:Purpose,,svpu:Education,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CommercialResearch,Commercial Research,Purposes associated with conducting research in a commercial setting or with intention to commercialise e.g. in a company or sponsored by a company,dpv:ResearchAndDevelopment,dpv:Purpose,,svpu:Develop,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
NonCommercialResearch,Non-Commercial Research,Purposes associated with conducting research in a non-commercial setting e.g. for a non-profit-organisation (NGO),dpv:ResearchAndDevelopment,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

Selling
SellDataToThirdParties,Sell Data to Third Parties,Purposes associated with selling or sharing data or information to third parties,dpv:SellProducts,dpv:Purpose,,,,"Sell here means exchange, submit, or provide in return for direct or indirect compensation. Was subclass of commercial interest, changed to reflect selling something",,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SellInsightsFromData,Sell Insights from Data,Purposes associated with selling or sharing insights obtained from analysis of data,dpv:SellProducts,dpv:Purpose,,,,"Sell here means exchange, submit, or provide in return for direct or indirect compensation. Was subclass of commercial interest, changed to reflect selling something",,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SellProductsToDataSubject,Sell Products to Data Subject,"Purposes associated with selling products or services to the user, consumer, or data subjects",dpv:SellProducts,dpv:Purpose,,,,Sell Products here refers to processing necessary to provide and complete a sale to customers. It should not be confused with providing services with a cost based on an established agreement.,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SellProducts,Sell Products,Purposes associated with selling products or services,dpv:ServiceProvision,dpv:Purpose,,,,"Sell here means exchange, submit, or provide in return for direct or indirect compensation.",,2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ServiceProvision,Service Provision,Purposes associated with providing service or product or activities,,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RepairImpairments,Repair Impairments,"Purposes associated with identifying, rectifying, or otherwise undertaking activities intended to fix or repair impairments to existing functionalities",dpv:ServiceProvision,dpv:Purpose,,,,"An example of identifying and rectifying impairments is the process of finding and fixing errors in products, commonly referred to as debugging",,2022-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PaymentManagement,Payment Management,"Purposes associated with processing and managing payment in relation to service, including invoicing and records",dpv:ServiceProvision,dpv:Purpose,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
ServiceRegistration,Service Registration,Purposes associated with registering users and collecting information required for providing a service,dpv:ServiceProvision,dpv:Purpose,,,,An example of service registration is to provide a form that collects information such as preferred language or media format for downloading a movie,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
RequestedServiceProvision,Requested Service Provision,Purposes associated with delivering services as requested by user or consumer,dpv:ServiceProvision,dpv:Purpose,,,,The use of 'request' here includes where an user explicitly asks for the service and also when an established contract requires the provision of the service,,2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ServiceRecordManagement,Service Order Management,"Manage invoicing, orders, and records in relation to services",dpv:ServiceProvision,dpv:Purpose,,,,,,2021-09-08,,deprecated,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,
ServiceUsageAnalytics,Service Usage Analytics,Purposes associated with conducting analysis and reporting related to usage of services or products,dpv:ServiceProvision,dpv:Purpose,,,,"Was ""UsageAnalytics"", prefixed with Service to better reflect scope",,2020-11-04,2022-10-05,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
TechnicalServiceProvision,Technical Service Provision,Purposes associated with managing and providing technical processes and functions necessary for delivering services,dpv:ServiceProvision,dpv:Purpose,,,,,,2021-09-08,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DeliveryOfGoods,Delivery of Goods,Purposes associated with delivering goods and services requested or asked by consumer,dpv:RequestedServiceProvision,dpv:Purpose,,svpu:Delivery,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SearchFunctionalities,Search Functionalities,"Purposes associated with providing searching, querying, or other forms of information retrieval related functionalities",dpv:ServiceProvision,dpv:Purpose,,,,,,2022-11-09,,accepted,Georg P Krog,,,,,,,,,,,,,,,,,,
,
