Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
TranscriptomicData,Transcriptomic Data,Information about transcriptomic data,pd:Molecular,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MetabolomicData,Metabolomic Data,Information about metabolomic data,pd:Molecular,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
LipidomicData,Lipidomic Data,Information about lipidomic data,pd:Molecular,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedHealthData,Person Generated Health Data,Information about person generated electronic health data,pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedMedicalDeviceData,Person Generated Medical Devices Data,Information about person generated medical devices data,sector-health:PersonGeneratedHealthData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedHealthAppData,Person Generated Health Application Data,Information about person generated digital health applications data,sector-health:PersonGeneratedHealthData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedWellnessAppData,Person Generated Wellness Application Data,Information about person generated wellness applications data,sector-health:PersonGeneratedHealthAppData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthProfessionalData,Health Professional Data,"Information about the status of the health professionals involved in the treatment of the person, including information on their specialisation and institution",pd:HealthRecord,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthRegistryData,Health Registry Data,Information about registries of health data,pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PublicHealthRegistryData,Public Health Registry Data,Information about registries of public health data,sector-health:HealthRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalRegistryData,Medical Registry Data,Information about electronic health data from medical registries,sector-health:HealthRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MortalityRegistryData,Mortality Registry Data,Information about electronic health data from mortality registries,sector-health:HealthRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DiseaseRegistryData,Disease Registry Data,Information about electronic health data from medical registries for specific diseases,sector-health:MedicalRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
StudyData,Study Data,"Information about health data from studies, e.g. clinical trials, research cohorts, ...",pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalTrialsData,Clinical Trials Data,Information about health data from clinical trials,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalStudiesData,Clinical Studies Data,Information about health data from clinical studies,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalInvestigationsData,Clinical Investigations Data,Information about health data from clinical investigations,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PerformanceStudiesData,Performance Studies Data,Information about health data from performance studies,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalDevicesData,Medical Devices Data,Information about electronic health data from medical devices,pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicinalProductsRegistryData,Medicinal Products Registry Data,Information about electronic health data from registries for medicinal products,sector-health:HealthRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalDevicesRegistryData,Medical Devices Registry Data,Information about electronic health data from registries for medical devices,sector-health:HealthRegistryData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ResearchCohortData,Research Cohort Data,Information about health data from research cohorts,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthQuestionnaire,Health Questionnaire,Information about health data from questionnaires,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthSurvey,Health Survey,Information about health data from surveys,sector-health:StudyData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
BiobankData,Biobank Data,Information about electronic health data from biobanks and associated databases,pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
LifestyleData,Lifestyle Data,Information about lifestyle,pd:Behavioural,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
WellnessData,Wellness Data,Information about wellness,pd:Behavioural,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
InferredHealthData,Inferred Health Data,"Information about inferred health data, including improvements such as correction, annotation, or enrichment based on authorised processing operations",dpv:InferredPersonalData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicHealthData,Electronic Health Data,"Information about electronic health data, including personal and non-personal data",,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonalElectronicHealthData,Personal Electronic Health Data,"Information about personal health data, including genetic data, processed in an electronic form",sector-health:ElectronicHealthData,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
NonPersonalElectronicHealthData,Non-Personal Electronic Health Data,"Information about electronic health data that is not personal data, including anonymised data",sector-health:ElectronicHealthData,dpv:NonPersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PatientSummary,Patient Summary,Information about patient summaries,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicPrescription,Electronic Prescription,Information about electronic prescriptions,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicDispensation,Electronic Dispensation,Information about electronic dispensations,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalImaging,Medical Imaging,Information about medical imaging studies and related imaging reports,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalTestResult,Medical Test Result,Information about medical test results,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DischargeReport,Discharge Report,Information about discharge reports,pd:HealthRecord,dpv:PersonalData,,,,,,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
