Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
DeviceNotice,Device Notice,A notice provided using the functionality provided by a device e.g. using the popup or alert feature,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
PrintedNotice,Printed Notice,A notice that is provided in a printed form on or along with a device,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
NoticeLayer,Notice Layer,A layer within a layered notice where the layer can be used for providing specific information or controls,dpv:Concept,a,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
NoticeIcon,Notice Icon,An icon within a notice associated with specific information or elements,dpv:Concept,a,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
NoticeStatus,Notice Status,"Status associated with notice provision, use, and management",dpv:Status,sc,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeGenerated,Notice Generated,Status indicating the notice has been generated,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeCommunicated,Notice Communicated,Status indicating the notice has been communicated,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeUnused,Notice Unused,Status indicating the notice has been communicated but has not yet been used e.g. the recipient has not acknowledged it or has not taken the intended action,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeUsed,Notice Used,Status indicating the notice has been communicated and has been used e.g. the recipient has acknowledged it or taken the intended action,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeUpdated,Notice Updated,Status indicating the notice has been updated and its contents or implications have changed,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeLatest,Notice Latest,Status indicating the notice is currently at its latest iteration,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
NoticeStale,Notice Stale,Status indicating the notice is stale or not up to date or not the latest version,,dpv:NoticeStatus,,,,,,2024-12-01,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
