Status,Notes,Term (ignore),Term,Label (de),Label (en),Definition (de),Definition (en),ParentType,ParentTerm,Source,Contributors,Created,
accepted,,ZustaendigeDatenhaltendeUndMittelndeStelle,ResponsibleDataHoldingAndMediatingBody,Zuständige datenhaltende und mittelnde Stelle,Responsible Data-holding and Mediating Body,"Diejenige datenhaltende und -mittelnde Stelle, die für ein konkretes Forschungsvorhaben zuständig ist",Data holding and mediating body responsible for a specific research project,sc,de-gdng:HealthDataHolder,[[GDNG]] § 3(2) point 4,"Julian Flake, Christian Draeger",2025-10-13,
accepted,Definitionen fehlen,Dritte,ThirdParty,Dritte,Third Party,,,,dpv:ThirdParty,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2026-02-10,
accepted,Definitionen fehlen,betroffenePerson,DataSubject,Betroffene Person,Data Subject,,,,eu-gdpr:DataSubject,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2026-02-08,
accepted,Definitionen fehlen,Verantwortliche,Controller,Datenschutzrechtlich verantwortliche Stelle,Controller,,,,eu-gdpr:Controller,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2026-02-08,
accepted,,KrebsregisterDerLaender,FederalStateCentresForCancerRegistryData,klinische Krebsregister der Länder,Federal State Centres for Cancer Registry Data,Die klinischen Krebsregister der Länder nach § 65c des Fünften Buches Sozialgesetzbuch,The federal state centres for cancer registry data pursuant to § 65c des Fünften Buches Sozialgesetzbuch,sc,de-gdng:HealthDataHolder,[[GDNG]] § 3(2) point 10,Julian Flake,2025-10-13,
accepted,,BefugtePerson,AuthorizedPerson,Befugte Person,Authorized Person,Eine natürliche Person die nach einem Rechte- und Rollenkonzept die Weiterverarbeitung von Gesundheitsdaten nach der Rechtsgrundlage § 6(1) GDNG an einer Gesundheitseinrichtung durchführt,"A natural person that, according to a rights and rolls concept, proccesses healtcare data at a healthcare facility pursuant to the legal basis of § 6(1) GDNG",,dpv:LegalEntity,[[GDNG]] § 6(1),Julian Flake,2025-10-13,
accepted,Kann Verbund auch Organisation sein?,,PublicJointHealthResearchNetwork,Öffentlich geförderte Zusammenschlüsse von datenverarbeitenden Gesundheitseinrichtungen,Publicly Funded Networks of Data Processing Healthcare Facilitys,"Öffentlich geförderte Zusammenschlüsse von datenverarbeitenden Gesundheitseinrichtungen einschließlich Verbundforschungsvorhaben und Forschungspraxennetzwerken, die nach § 6(1) GDNG Gesundheitsdaten gemeinsam nutzen und verarbeiten","Publicly funded networks of data processing healthcare facilitys, including joint research projects and research practice networks, which jointly use and process health data pursuant to § 6(1) GDNG",,dpv:LegalEntity,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2025-10-13,
proposed,Definitionen fehlen,,JointResearchProject,Verbundforschungsvorhaben,Joint Research Project,,,,de-gdng:JointPublicHealthResearch,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2025-10-13,
proposed,Definitionen fehlen,,ResearchPracticeNetwork,Forschungspraxennetzwerken,Research Practice Network,,,,de-gdng:JointPublicHealthResearch,[[GDNG]] § 6(3),"Julian Flake, Christian Draeger",2025-10-13,
proposed,use case / description missing,AKGesundheitsDatenNutzung,WorkingGroupOnHealthDataUse,Arbeitskreis zur Gesundheitsdatennutzung,Working Group on Health Data Use,Ein von der DACO im Benehmen mit dem BMG und dem BMBF eingerichteter Arbeitskreis zur Gesundheitsdatennutzung.,Working group on health data use established by the DACO in consultation with BMG and BMBF.,a,dpv:GovernmentalOrganisation,,Julian Flake,2025-10-13,
proposed,source missing,Forschungseinrichtung,ResearchInstitute,Forschungseinrichtung,Research Institute,"Forschungsinstitut, das mit Gesundheitsdaten forschen möchte oder forscht.",Research institute that wants to perfom or performs research with health data.,,dpv:HealthDataUser,,Julian Flake,2026-02-05,
rejected,not a gdng specific actor,BfArM,BfArM,Bundesinstitut für Arzneimittel und Medizinprodukte (BfArM),Federal Institute for Drugs and Medical Devices (BfArM),Das Bundesinstitut für Arzneimittel und Medizinprodukte (BfArM).,Federal Institute for Drugs and Medical Devices (BfArM).,a,dpv:GovernmentalOrganisation,[[GDNG]] § 3(1),Julian Flake,2025-10-13,
rejected,not a gdng specific actor,BMG,BMG,Bundesministerium für Gesundheit (BMG),Federal Ministry of Health (BMG),,,a,dpv:GovernmentalOrganisation,[[GDNG]] § 3(3),Julian Flake,2025-10-13,
rejected,not a gdng specific actor,BMBF,BMBF,Bundesministerium für Bildung und Forschung (BMBF),Federal MInistry of Education and Health (BMBF),,,a,dpv:GovernmentalOrganisation,[[GDNG]] § 3(3),Julian Flake,2025-10-13,
rejected,not a gdng specific actor,BMAS,BMAS,Bundesministerium für Arbeit und Soziales (BMAS),Federal Ministry of Labour and Social Affairs (BMAS),,,a,dpv:GovernmentalOrganisation,[[GDNG]] § 3(3),Julian Flake,2025-10-13,
rejected,not a gdng specific actor,,,Bundesrat,,,,a,dpv:GovernmentalOrganisation,[[GDNG]] § 3(3),Julian Flake,2025-10-13,
proposed,Parent von DataProcessingHealthcareFacility?,Gesundheitseinrichtung / Leistungserbringer / Term in sector-health?,,,,,,,,,,,
