Term,Title,Description,Source,SourceFormat,SourceType,Concepts,Reference,Status,Date,Contributor,,,,,,,,,,,,,,,,,
E0011,Indicating Storage Conditions,"<p>This example includes Acme as a Data Processor that stores data within servers located in Ireland for a period of one year. The temporal information is represented using [[[TIME]]], and the location is specified using [[[LOC]]].</p><p>In this example, the <code>StorageCondition</code> is expressed as a separate policy applicable. It is also possible to directly express it over other concepts such as a service, technology, or a processing operation, e.g. to say <code>ex:AcmeStore dpv:hasStorageCondition ...</code>.</p>",E0011.ttl,ttl,file,dpv:StorageCondition,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0012,Indicating Data Sources,"<p>Data sources can be the data subject (direct or indirect), the data controller or processor (itself), or another entity (third party). The below example provides an overview of these with distinctions between source and method of generation.</p>
        <p>In this example, <code>ex:S01</code> represents direct collection of data from the data subject, while <code>ex:S02</code> represents indirect collection where data is derived or observed - or undergoes any operation that still points to the data subject as the source. <code>ex:S03</code> infers data, which means the inferring entity (the Controller in this case) is the source of this data - even if the inferred data is based on data collected from the Data Subject. <code>ex:S04</code> has data sourced from another entity - such as a Third Party, but could also refer to a Data Processor. <code>ex:S05</code> represents collection of data from a public dataset that has been published by the data subject themselves.</p>
        <p>Note that the above example is illustrative - it may be pertinent to provide documentation about each data source to ensure sufficient information is recorded for intended purposes. For example, the method of collection (e.g. forms), or inference (e.g. algorithm), or public dataset (e.g. link, license).</p>",E0012.ttl,ttl,file,dpv:DataSource,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0013,Spam filter as Automated Decision Making with Human Involvement,"<p>Consider the use of a spam filter that is based on automated processing operations where humans provide inputs, have oversight of the operation, and results in automated decision making for whether communications should be propagated. A new separate filter is developed that utilises a novel spam detection criteria that also takes into account communications other than emails for the sender and makes automated decisions whether to permit communication to proceed. Such explicit annotation of several high-risk operations assists in performing impact assessments for this technology, as well as understanding the extent and effectiveness of human involvement to mitigate risks and issues.</p>
        <p>In this example, the Spam Filter process allows the users to reverse the effects (i.e. emails marked as spam) but does not allow opting out from the process (i.e. stop spam filtering). The spam detection algorithm performs automated decision making (by deciding which emails to accept), systemic monitoring (of communications), and evaluation and scoring (by scoring contents of emails and senders/recipients). The spam detection algorithm also indicates what human involvement is expected - to provide input (e.g. mark emails as spam) and intervention (e.g. change spam criterias).</p>",E0013.ttl,ttl,file,"dpv:AutomationLevel,dpv:HumanInvolvement",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0014,Denoting Legal Basis within a Process,"<p>The <code>LegalBasis</code> can be associated with any concept using the relation <code>hasLegalBasis</code>. Such associations are of three types: (1) where the legal basis refers to an instance, such as the consent or contract associated with a particular data subject; (2)  where the legal basis refers to the category that will be used to justify processing, such as the concept <i>consent</i> to denote consent will be the basis for indicated processing; and lastly (3) where the legal basis is defined with a context, such as <i>consent of service consumers</i>.</p>",E0014.ttl,ttl,file,dpv:LegalBasis,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0015,Indicating consent as a legal basis,"<p>Here, a process instance represents some context (e.g. a service, or a product, or some operation), and the example specifies that the legal basis for these is the use of consent.</p>",E0015.ttl,ttl,file,dpv:Consent,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0016,Indicating details about an individual's consent,"<p>In this example, an individual's consent is recorded with abstraction in the form of linking to a common process instance from the previous example. This 'common' process represents processing taking place for all data subjects, whereas the consent instance refers only to the individual with a link to this common information. This is to present an alternative method for storing information as compared to extensive consent records.</p>",E0016.ttl,ttl,file,dpv:ConsentRecord,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0017,"Representing notice, provision, expiry, and withdrawal information for consent",This example first specifies a privacy notice as a document is being used in the context of a service as represented using a personal data handling instance. Then it provides an alternative representation where the contents of a notice are described using DPV.,E0017.ttl,ttl,file,"dpv:Notice,dpv:PrivacyNotice",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0018,Using consent types,This example shows use of DPV consent types to distinguish between 'expressed' and 'explicitly expressed' consent,E0018.ttl,ttl,file,"dpv:Consent,dpv:ExpressedConsent,dpv:ExplicitlyExpressedConsent",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0019,"Indicating Entity Information, including DPO and Representatives",This example shows how information about representatives can be associated with an entity,E0019.ttl,ttl,file,"dpv:Representative,dpv:DPO",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0020,Using technical measure: Protecting data using encryption and access control,"<p>To indicate data is encrypted using the <a href=""https://en.wikipedia.org/wiki/RSA_(cryptosystem)"">Rivest-Shamir-Adleman (RSA) method</a>, one would extend the <a href=""https://w3id.org/dpv#Encryption""><code>Encryption</code></a> concept within DPV to represent <code>RSA</code>, and then instantiate it with the specific implementation used (e.g. to indicate key size). Access to this data is further restricted by requiring a password or credential.</p>",E0020.ttl,ttl,file,"dpv:TechnicalMeasure,dpv:Encryption,dpv:AccessControlMethod",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0021,Using organisational measure: Indicating staff training for use of Credentials,"<p>To indicate staff are trained in the use of credentials, and that a policy exists regarding this, the use of <code>OrganisationalMeasure</code> concepts can be combined in several ways. Note that the interpretations for how staff training is associated with credentials, or contains training regarding credentials is arbitrary in notation. It is intended to demonstrate how different perspectives can be represented so as to be suitable to the organisation's documentation practices.</p>",E0021.ttl,ttl,file,"dpv:OrganisationalMeasure,dpv:StaffTraining",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0022,Privacy Notice used in an activity,<p>This example first specifies a privacy notice as a document is being used in the context of a service as represented using a process instance. Then it provides an alternative representation where the contents of a notice are described using DPV.</p>,E0022.ttl,ttl,file,dpv:PrivacyNotice,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0023,Consent record example,"<p>This (simplified) example shows a consent record containing the topic of consent (i.e. which processing activities it was about), its current status, and when it was given by the data subject. The structure of a record is highly dependent on the requirements of the use-case, and can vary across implementations. In this case, it is based on the ISO/IEC TS 27560:2023 Privacy technologies — Consent record information structure, for which we provide the implementation guide [[[GUIDE-Consent-27560]]].</p><p>The example uses the <a href=""https://dublincore.org/specifications/dublin-core/dcmi-terms/"">DCMI Metadata Terms (dct)</a> vocabulary to indicate metadata such as title and timestamps. Other vocabularies such as <a href=""https://www.w3.org/TR/prov-o/"">PROV-O</a> can be used to also indicate provenance information such as when it was generated and how it was produced.</p>",E0023.ttl,ttl,file,dpv:ConsentRecord,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0024,Controller-Processor agreement denoting processing to be carried out,<p>Acme is the Data Controller that contracts BetaInc as a Data Processor to analyse raw call logs and provide statistical patterns.</p>,E0024.ttl,ttl,file,dpv:ControllerProcessorAgreement,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0025,Data transfer safeguards,<p>This example represents a contractual agreement between a controller and a processor indicating the use of encryption and EU commission approved Standard Contractual Clauses as specific measures to safeguard data transfers between them.</p>,E0025.ttl,ttl,file,dpv:DataTransferSafeguard,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0026,Example of Contextual Necessity,"<p>In this example, a <code>Process</code> instance consists of two nested <code>Process</code> instances for each of the optional and required parts. The personal data category 'Account Identifier' is indicated as being required for 'Communication for Customer Care', while the use of 'Email' is optional for the same purpose.</p>",E0026.ttl,ttl,file,dpv:Necessity,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0027,"Indicating risks, consequences, and impacts","<p>In this example, we consider <i>Risk</i> can be associated with any  concept given its broad existence and applicability, and that its mitigation is a technical and organisational measure. Using this, the implemented or adopted technical and organisational measures within an use-case are annotated with the risks they address or mitigate, along with specific impacts that may occur if the risk were to occur. For example, the storage of personal data within a database has an implementation of access control that mitigates the consequence of unauthorised access and its impact to cause harm.</p>",E0027.ttl,ttl,file,"dpv:Risk,dpv:Consequence,dpv:Impact",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0028,Rule specifying permission,"<p>In this example, a Process which consists of using an email address for service provision using the legal basis as Consent is permitted</p>",E0028.ttl,ttl,file,dpv:Permission,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0029,Rule specifying prohibition,"<p>In this example, the hasProhibition relation is directly used to assert a prohibition to handle Health data within a Process:</p>",E0029.ttl,ttl,file,dpv:Prohibition,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0030,Rule combining DPV with ODRL,"<p>In this example, DPV is complemented with ODRL, following the ODRL implementation best practices, to assert an obligation to Anonymise data in order to use it:</p>",E0030.ttl,ttl,file,dpv:Rule,,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
E0031,Using Service to group related processes,"This example shows the use of Service concept to represent a 'service' provided by an organisation, which includes two processes for data collection and service provision",E0031.ttl,ttl,file,"dpv:Service,dpv:Process",,accepted,2024-06-10,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,
