Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
InputDataMisclassified,Input Data Misclassified,Concept representing input data being misclassified,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataUnverified,Input Data Unverified,Concept representing input data being unverified,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataSelectionError,Input Data Selection Error,Concept representing an error in input data selection,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataMisinterpretation,Input Data Misinterpretation,Concept representing input data being misinterpreted,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,
InputDataUnrepresentative,Input Data Unrepresentative,Concept representing input data being unrepresentative,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataBias,Input Data Bias,Concept representing input data containing or potentially containing bias,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataInappropriate,Input Data Inappropriate,Concept representing input data being inappropriate,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataRisk,Testing Data Risk,Risks and risk concepts related to testing data,ai:DataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataIncomplete,Testing Data Incomplete,Concept representing testing data being incomplete,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataInaccurate,Testing Data Inaccurate,Concept representing testing data being inaccurate,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataInconsistent,Testing Data Inconsistent,Concept representing testing data being inconsistent,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataOutdated,Testing Data Outdated,Concept representing testing data being outdated,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataNoise,Testing Data Noise,Concept representing testing data being noisy,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,
TestingDataSparse,Testing Data Sparse,Concept representing testing data being sparse,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataUnstructured,Testing Data Unstructured,Concept representing testing data being unstructured,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataMisclassified,Testing Data Misclassified,Concept representing testing data being misclassified,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataUnverified,Testing Data Unverified,Concept representing testing data being unverified,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataSelectionError,Testing Data Selection Error,Concept representing an error in testing data selection,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataMisinterpretation,Testing Data Misinterpretation,Concept representing testing data being misinterpreted,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,
TestingDataUnrepresentative,Testing Data Unrepresentative,Concept representing testing data being unrepresentative,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataBias,Testing Data Bias,Concept representing testing data containing or potentially containing bias,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TestingDataInappropriate,Testing Data Inappropriate,Concept representing testing data being inappropriate,ai:TestingDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataRisk,Validation Data Risk,Risks and risk concepts related to validation data,ai:DataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataIncomplete,Validation Data Incomplete,Concept representing validation data being incomplete,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataInaccurate,Validation Data Inaccurate,Concept representing validation data being inaccurate,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataInconsistent,Validation Data Inconsistent,Concept representing validation data being inconsistent,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataOutdated,Validation Data Outdated,Concept representing validation data being outdated,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataNoise,Validation Data Noise,Concept representing validation data being noisy,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,
ValidationDataSparse,Validation Data Sparse,Concept representing validation data being sparse,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataUnstructured,Validation Data Unstructured,Concept representing validation data being unstructured,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataMisclassified,Validation Data Misclassified,Concept representing validation data being misclassified,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataUnverified,Validation Data Unverified,Concept representing validation data being unverified,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataSelectionError,Validation Data Selection Error,Concept representing an error in validation data selection,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataMisinterpretation,Validation Data Misinterpretation,Concept representing validation data being misinterpreted,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,
ValidationDataUnrepresentative,Validation Data Unrepresentative,Concept representing validation data being unrepresentative,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataBias,Validation Data Bias,Concept representing validation data containing or potentially containing bias,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationDataInappropriate,Validation Data Inappropriate,Concept representing validation data being inappropriate,ai:ValidationDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SecurityAttack,Security Attack,"Risks or issues associated with security attacks related to AI technologies, models, and systems",ai:RiskConcept,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
AdversarialAttack,Adversarial Attack,Inputs designed to cause the model to make a mistake,ai:SecurityAttack,dpv:RiskConcept,,"S,R,C",I,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DataPoisoning,Data Poisoning,Attack trying to manipulate the training dataset,ai:SecurityAttack,dpv:RiskConcept,,"S,R,C",I,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ModelEvasion,Model Evasion,"An input, which seems normal for a human but is wrongly classified by ML models",ai:SecurityAttack,dpv:RiskConcept,,"S,R,C",I,,,"(The EU Assessment List for Trustworthy AI (ALTAI),https://data.europa.eu/doi/10.2759/002360)",,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ModelInversion,Model Inversion,"A type of attack to AI models, in which the access to a model is abused to infer information about the training data",ai:SecurityAttack,dpv:RiskConcept,,"S,R,C",C,,,"(HLEG Assessment List for Trustworthy Artificial Intelligence (ALTAI),https://digital-strategy.ec.europa.eu/en/library/assessment-list-trustworthy-artificial-intelligence-altai-self-assessment)",,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ModelRisk,Model Risk,Risks associated with AI Models,ai:RiskConcept,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
AISystemRisk,AI System Risk,Risks associated with AI Systems,ai:RiskConcept,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
UserRisk,User Risk,Risks associated with Users of AI Systems,ai:RiskConcept,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
AIBias,AI Bias,"Bias associated with development, use, or other activities involving an AI technology or system","risk:Bias,ai:RiskConcept",dpv:RiskConcept,,"S,R",,,,,,2024-09-18,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
AutomationBias,Automation Bias,"Bias that occurs due to propensity for humans to favour suggestions from automated decision-making systems and to ignore contradictory information made without automation, even if it is correct","ai:AIBias,risk:CognitiveBias",dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,2025-07-30,modified,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,
DataBias,Data Bias,Bias that occurs due to unaddressed data properties that lead to AI systems that perform better or worse for different groups,ai:AIBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
DataLabellingProcessBias,Data Labelling Process Bias,Bias that occurs due to the labelling process itself introducing societal or cognitive biases,ai:DataBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,2025-08-06,modified,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,
NonRepresentativeSamplingBias,Non-Representative Sampling Bias,"Bias that occurs if a dataset is not representative of the intended deployment environment, where the model learns biases based on the ways in which the data is non-representative",ai:DataBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
MissingFeaturesBias,Missing Features Bias,Bias that occurs when features are missing from individual training samples,ai:DataBias,dpv:RiskConcept,,"S,R",,,,If the frequency of missing features is higher for one group than another then this presents another vector for bias,ISO/IEC 24027:2021,2024-09-13,2025-08-06,modified,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,
DataAggregationBias,Data Aggregation Bias,Bias that occurs from aggregating data covering different groups of objects that might have different statistical distributions which introduce bias into the data used to train AI systems,ai:DataBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
DistributedTrainingBias,Distributed Training Bias,Bias that occurs due to distributed machine having different sources of data that do not have the same distribution of feature space,ai:DataBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
EngineeringDecisionBias,Engineering Decision Bias,"Bias that occurs due to machine learning model architectures - encompassing all model specifications, parameters and manually designed features",ai:AIBias,dpv:RiskConcept,,"S,R",,,,Data bias and human cognitive bias can contribute to such bias,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
FeatureEngineeringBias,Feature Engineering Bias,"Bias that occurs from steps such as encoding, data type conversion, dimensionality reduction and feature selection which are subject to choices made by the AI developer and introduce bias in the ML model",ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
AlgorithmSelectionBias,Algorithm Selection Bias,Bias that occurs from the selection of machine learning algorithms built into the AI system which introduce unwanted bias in predictions made by the system because the type of algorithm used introduces a variation in the performance of the ML model,ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
HyperparameterTuningBias,Hyperparameter Tuning Bias,"Bias that occurs from hyperparameters defining how the model is structured and which cannot be directly trained from the data like model parameters, where hyperparameters affect the model functioning and accuracy of the model",ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
InformativenessBias,Informativeness Bias,"Bias that occurs or some groups, the mapping between inputs present in the data and outputs are more difficult to learn and where a model that only has one feature set available, can be biased against the group whose relationships are difficult to learn from available data",ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,"This can happen when some features are highly informative about one group, while a different set of features is highly informative about another group. If this is the case, then a model that only has one feature set available, can be biased against the group whose relationships are difficult to learn from available data",ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
ModelBias,Model Bias,"Bias that occurs when ML uses functions like a maximum likelihood estimator to determine parameters, and there is data skew or under-representation present in the data, where the maximum likelihood estimation tends to amplify any underlying bias in the distribution",ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
ModelInteractionBias,Model Interaction Bias,Bias that occurs from the structure of a model to create biased predictions,ai:EngineeringDecisionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
ModelExpressivenessBias,Model Expressiveness Bias,Bias that occurs from the number and nature of parameters in a model as well as the neural network topology which affect the expressiveness of the model and any feature that affects model expressiveness differently across groups,ai:ModelInteractionBias,dpv:RiskConcept,,"S,R",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
TransparencyRisk,Transparency Risk,"Risk that an AI's design, performance, outputs, or other characteristics are not sufficiently transparent",,dpv:RiskConcept,,"S,R",,,,,,2026-02-09,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ExplainabilityRisk,Explainability Risk,"Risk that an AI's decisions or behaviors cannot be adequately understood, interpreted, or justified by relevant stakeholders.",,dpv:RiskConcept,,"S,R",,,,,,2026-02-09,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ModelPoisoning,Model Poisoning,Attacks trying to manipulate pre-trained components used in training ,ai:SecurityAttack ,,,,,,"AI Act, Article 15(5)",,,,,,,
ConfidentialityAttack,Confidentiality Attack,,ai:SecurityAttack ,,,,,,"AI Act, Article 15(5)",,,,,,,
ModelFlaw,Model Flaw,,,,,"S,R",,,"AI Act, Article 15(5)",,,,,,,
