Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Data,,,,,,,,,,,,,,
LipidomicData,Lipidomic Data,Information about lipidomic data,sector-health:LipidomicData,dpv:PersonalData,,,,,EHDS Art.51.1(g),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedMedicalDeviceData,Person Generated Medical Devices Data,Information about person generated medical devices data,sector-health:PersonGeneratedMedicalDeviceData,dpv:PersonalData,,,,,EHDS Art.51.1(h),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonGeneratedWellnessAppData,Person Generated Wellness Application Data,Information about person generated wellness applications data,sector-health:PersonGeneratedWellnessAppData,dpv:PersonalData,,,,,EHDS Art.51.1(i),2024-12-01,2026-02-04,modified,"Beatriz Esteves, Arthit Suriyawongkul",,,,,,,,,,,,,,,,
HealthProfessionalData,Health Professional Data,"Information about the status of the health professionals involved in the treatment of the person, including information on their specialisation and institution",sector-health:HealthProfessionalData,dpv:PersonalData,,,,,EHDS Art.51.1(j),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthRegistryData,Health Registry Data,Information about registries of health data,pd:MedicalHealth,dpv:PersonalData,moved to the health sector extension,,,,,2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
PublicHealthRegistryData,Public Health Registry Data,Information about registries of public health data,sector-health:PublicHealthRegistryData,dpv:PersonalData,,,,,EHDS Art.51.1(k),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalRegistryData,Medical Registry Data,Information about electronic health data from medical registries,sector-health:MedicalRegistryData,dpv:PersonalData,,,,,EHDS Art.51.1(l),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
MortalityRegistryData,Mortality Registry Data,Information about electronic health data from mortality registries,sector-health:MortalityRegistryData,dpv:PersonalData,,,,,EHDS Art.51.1(l),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DiseaseRegistryData,Disease Registry Data,Information about electronic health data from medical registries for specific diseases,sector-health:DiseaseRegistryData,dpv:PersonalData,,,,,EHDS Recital 56,2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
StudyData,Study Data,"Information about health data from studies, e.g. clinical trials, research cohorts, ...",pd:MedicalHealth,dpv:PersonalData,moved to the health sector extension,,,,,2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalTrialsData,Clinical Trials Data,Information about health data from clinical trials,sector-health:ClinicalTrialsData,dpv:PersonalData,,,,,EHDS Art.51.1(m),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalStudiesData,Clinical Studies Data,Information about health data from clinical studies,sector-health:ClinicalStudiesData,dpv:PersonalData,,,,,EHDS Art.51.1(m),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ClinicalInvestigationsData,Clinical Investigations Data,Information about health data from clinical investigations,sector-health:ClinicalInvestigationsData,dpv:PersonalData,,,,,EHDS Art.51.1(m),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PerformanceStudiesData,Performance Studies Data,Information about health data from performance studies,sector-health:PerformanceStudiesData,dpv:PersonalData,,,,,EHDS Art.51.1(m),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalDevicesData,Medical Devices Data,Information about electronic health data from medical devices,sector-health:MedicalDevicesData,dpv:PersonalData,,,,,EHDS Art.51.1(n),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicinalProductsRegistryData,Medicinal Products Registry Data,Information about electronic health data from registries for medicinal products,sector-health:MedicinalProductsRegistryData,dpv:PersonalData,,,,,EHDS Art.51.1(o),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalDevicesRegistryData,Medical Devices Registry Data,Information about electronic health data from registries for medical devices,sector-health:MedicalDevicesRegistryData,dpv:PersonalData,,,,,EHDS Art.51.1(o),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
ResearchCohortData,Research Cohort Data,Information about health data from research cohorts,sector-health:ResearchCohortData,dpv:PersonalData,,,,,EHDS Art.51.1(p),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthQuestionnaire,Health Questionnaire,Information about health data from questionnaires,sector-health:HealthQuestionnaire,dpv:PersonalData,,,,,EHDS Art.51.1(p),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthSurvey,Health Survey,Information about health data from surveys,sector-health:HealthSurvey,dpv:PersonalData,,,,,EHDS Art.51.1(p),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
BiobankData,Biobank Data,Information about electronic health data from biobanks and associated databases,sector-health:BiobankData,dpv:PersonalData,,,,,EHDS Art.51.1(q),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
LifestyleData,Lifestyle Data,Information about lifestyle,pd:Behavioural,dpv:PersonalData,moved to the health sector extension,,,,EHDS Art.33.1(n),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
WellnessData,Wellness Data,Information about wellness,pd:Behavioural,dpv:PersonalData,moved to the health sector extension,,,,EHDS Art.33.1(n),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
InferredHealthData,Inferred Health Data,"Information about inferred health data, including improvements such as correction, annotation, or enrichment based on authorised processing operations",sector-health:InferredHealthData,dpv:PersonalData,,,,,EHDS Recital 6,2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicHealthData,Electronic Health Data,"Information about electronic health data, including personal and non-personal data",sector-health:ElectronicHealthData,dpv:PersonalData,,,,,EHDS Art.2.2(c),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PersonalElectronicHealthData,Personal Electronic Health Data,"Information about personal health data, including genetic data, processed in an electronic form",sector-health:PersonalElectronicHealthData,dpv:PersonalData,,,,,EHDS Art.2.2(a),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
NonPersonalElectronicHealthData,Non-Personal Electronic Health Data,"Information about electronic health data that is not personal data, including anonymised data",sector-health:NonPersonalElectronicHealthData,dpv:NonPersonalData,,,,,EHDS Art.2.2(b),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PatientSummary,Patient Summary,Information about patient summaries,sector-health:PatientSummary,dpv:PersonalData,,,,,EHDS Art.14.1(a),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicPrescription,Electronic Prescription,Information about electronic prescriptions,sector-health:ElectronicPrescription,dpv:PersonalData,,,,,EHDS Art.14.1(b),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ElectronicDispensation,Electronic Dispensation,Information about electronic dispensations,sector-health:ElectronicDispensation,dpv:PersonalData,,,,,EHDS Art.14.1(c),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalImaging,Medical Imaging,Information about medical imaging studies and related imaging reports,sector-health:MedicalImaging,dpv:PersonalData,,,,,EHDS Art.14.1(d),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MedicalTestResult,Medical Test Result,Information about medical test results,sector-health:MedicalTestResult,dpv:PersonalData,,,,,EHDS Art.14.1(e),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DischargeReport,Discharge Report,Information about discharge reports,sector-health:DischargeReport,dpv:PersonalData,,,,,EHDS Art.14.1(f),2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
