Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Taxonomies,Taxonomies,A taxonomy based on experience or on concepts and models that can be used to help identify risks or controls.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Cindynic,Cindynic Approach,"Considers goals, values, rules, data and models of stakeholders and identifies inconsistencies, ambiguities, omissions and ignorance. These form systemic sources and drivers of risk.",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CVaR,Conditional Value at Risk (CVaR),A measure of the expected loss from a financial portfolio in the worst a % of cases. Also called expected shortfall (ES),risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RiskMatrix,Risk Matrix,Compares individual risks by selecting a consequence/ likelihood pair and displaying them on a matrix with consequence on one axis and likelihood on the other.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CostBenefitAnalysis,Cost/benefit Analysis,"Uses money as a scale for estimating positive and negative, tangible and intangible, consequences of different options.",risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CrossImpactAnalysis,Cross Impact Analysis,Evaluates changes in the probability of the occurrence of a given set of events consequent on the actual occurrence of one of them.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
DecisionTreeAnalysis,Decision Tree Analysis,Uses a tree-like representation or model of decisions and their possible consequences. Outcomes are usually expressed in monetary terms or in terms of utility.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
DelphiTechnique,Delphi Technique,Collects judgements through a set of sequential questionnaires. People participate individually but receive feedback on the responses of others after each set of questions.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EventTreeAnalysis,Event Tree Analysis,Models the possible outcomes from a given initiating event and the status of controls thus analysing the frequency or probability of the various possible outcomes.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FMEA,Failure Modes And Effects Analysis (FMEA),Considers the ways in which each component of a system might fail and the failure causes and effects.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FMECA,Failure Modes And Effects And Criticality Analysis (FMECA),Considers the ways in which each component of a system might fail and the failure causes and effects. FMEA followed by a criticality analysis which defines the significance of each failure mode (FMECA).,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FaultTreeAnalysis,Fault Tree Analysis,Analyses causes of a focus event using Boolean logic to describe combinations of faults. Variations include a success tree where the top event is desired and a cause tree used to investigate past events.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FNDiagrams,F-N Diagrams,Special case of quantitative consequence/likelihood graph applied to consideration of tolerability of risk to human life.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
GameTheory,Game Theory,The study of strategic decision making to model the impact of the decisions of different players involved in the game. Example application area can be risk based pricing.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
HAZOP,Hazard And Operability Studies (HAZOP),"A structured and systematic examination of a planned or existing process or operation in order to identify and evaluate problems that might represent risk to personnel or equipment, or prevent efficient operation",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
HACCP,Hazard Analysis And Critical Control Points (HACCP),Analyses the risk reduction that can be achieved by various layers of protection.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
HumanReliabilityAnalysis,Human Reliability Analysis,A set of techniques for identifying the potential for human error and estimating the likelihood of failure.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Interviews,Interviews,Structured or semi- structured one-to-one conversations to elicit views.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Fishbone,Ishikawa (Fishbone),Identifies contributory factors to a defined outcome (wanted or unwanted). Contributory factors are usually divided into predefined categories and displayed in a tree structure or a fishbone diagram.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
LOPA,Layer Protection Analysis (LOPA),Analyses the risk reduction that can be achieved by various layers of protection.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
MarkovAnalysis,Markov Analysis,Calculates the probability that a system that has the capacity to be in one of a number of states will be in a particular state at a time t in the future.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
MonteCarloSimulation,Monte Carlo Simulation,Calculates the probability of outcomes by running multiple simulations using random variables.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
MCA,Multi-criteria Analysis (MCA),Compares options in a way that makes trade-offs explicit. Provides an alternative to cost/benefit analysis that does not need a monetary value to be allocated to all inputs.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
NominalGroupTechnique,Nominal Group Technique,"Technique for eliciting views from a group of people where initial participation is as individuals with no interaction, then group discussion of ideas follows.",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ParetoCharts,Pareto Charts,"The Pareto principle (the 80–20 rule) states that, for many events, roughly 80 % of the effects come from 20 % of the causes.",risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
PIA,Privacy Impact Analysis (PIA),Analyses how incidents and events could affect a person's privacy and identifies and quantifies the capabilities that would be needed to manage it.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
DPIA,Data Protection Impact Assessment (DPIA),Analyses how incidents and events could affect the protection of data and its effects on persons and identifies and quantifies the capabilities that would be needed to manage it.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ReliabilityCentredMaintenance,Reliability Centred Maintenance,A risk based assessment used to identify the appropriate maintenance tasks for a system and its components.,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RiskIndices,Risk Indices,Rates the significance of risks based on ratings applied to factors which are believed to influence the magnitude of the risk.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RiskRegisters,Risk Registers,A means of recording information about risks and tracking actions.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
SCurves,S-curves,A means of displaying the relationship between consequences and their likelihood plotted as a cumulative distribution function (S-curve).,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ScenarioAnalysis,Scenario Analysis,"Identifies possible future scenarios through imagination, extrapolation from the present or modelling. Risk is then considered for each of these scenarios.",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Surveys,Surveys,Paper- or computer-based questionnaires to elicit views.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
SWIFT,"Structured ""What If?"" (SWIFT)","A simpler form of HAZOP with prompts of ""what if"" to identify deviations from the expected.",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Toxicological,Toxicological Risk Assessment,A series of steps taken to obtain a measure for the risk to humans or ecological systems due to exposure to chemicals.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
VaR,Value At Risk (VaR),Financial measure of risk that uses an assumed probability distribution of losses in a stable market condition to calculate the value of a loss that might occur with a specified probability within a defined time span.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
