Term,Label,Description,ParentTerm,DPV or DGA?,ParentType,Value,RelatedTerms,Relation,Comment,Source,Created,Modified,Status,Contributors,Resolution
,,,,,,,,,,,,,,,
Purpose,,,,,,,,,,,,,,,
DataAltruism,Data Altruism,"Purposes associated with the voluntary sharing of data for the general interest of the public, such as healthcare or combating climate change",dpv:Purpose,dpv,,,,,Data Altruism as a purpose should be combined with other purposes to indicate their altruistic interpretation or application. E.g. improving healthcare and data altruism in combination.,DGA 2.16,,,,,
CombatClimateChange,Combat Climate Change,"Purposes associated with combating the causes and consequences of climate change, including reducing gas emissions and fighting emergencies such as floods or wildfires",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
ImproveHealthcare,Improve Healthcare,"Purposes associated with improving the public healthcare systems across the Member States, including improving personalised treatments and helping cure chronic diseases",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
ImprovePublicServices,Improve Public Services,"Purposes associated with improving the provision of public services, such as public safety, education or law enforcement",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
ImproveTransportMobility,Improve Transport and Mobility,"Purposes associated with improving traffic, public transport systems or costs for drivers",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
ProvideOfficialStatistics,Provide Official Statistics,"Purposes associated with facilitating the development, production and dissemination of reliable official statistics",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
PublicPolicyMaking,Public Policy Making,"Purposes associated with public policy making, such as the development of new laws",dpv:Purpose,dpv,,,,,,DGA 2.16,,,,,
ScientificResearch,Scientific  Research,Purposes associated with scientific research,dpv:ResearchAndDevelopment,dpv,,,,,,DGA 2.16,,,,,
ProtectionOfIPR,Protection of Intellectual Property Rights,Purposes associated with the protection of intellectual property rights,dpv:Purpose,dpv,,,,,,,,,,,
ProtectionOfNationalSecurity,Protection of National Security,Purposes associated with the protection of national security,dpv:Purpose,dpv,,,,,,,,,,,
ProtectionOfPublicSecurity,Protection of Public Security,Purposes associated with the protection of public security,dpv:Purpose,dpv,,,,,,,,,,,
CommercialPurpose,Commercial Purpose,Purposes associated with processing activities performed in a commercial setting or with intention to commercialise,dpv:Purpose,dpv,,,,,dpv:CommercialResearch / dpv:NonCommercialResearch as subtypes of CommercialPurpose / NonCommercialPurpose ?,,,,,,
NonCommercialPurpose,Non-commercial Purpose,Purposes associated with processing activities performed in a non-commercial setting or without intention to commercialise,dpv:Purpose,dpv,,,,,,,,,,,
EnhanceDataInteroperability,Enhance Data Interoperability,Enhance the interoperability of the data,dpv:Purpose,dpv,,,,,,DGA 12.d,,,,,
EnsureDataHarmonisationWithStandards,Ensure Data Harmonisation with Standards,Enhance harmonisation of data with standards,dpv:Purpose,dpv,,,,,,DGA 12.d,,,,,
ExchangeViewsOnDataProcessing,Exchange Views on Data Processing,Supporting inviduals and entities in exchanging views on data processing purposes and relevant information,dpv:Purpose,dpv,,,,,,DGA 2.15,,,,,
FacilitateDataExchange,Facilitate Data Exchange,Facilitate exchange of data,dpv:Purpose,dpv,,,,,,DGA 12.d,,,,,
MisusePreventionAndDetection,"Misuse, Prevention and Detection",Prevention and Detection of Misuse or Abuse of services,dpv:Purpose,dpv,,,,,,,,,,,
NegotiateContractualAgreements,Negotiate Contractual Agreements,"Negotiate contractual agreements regarding processing of data and other matters, including terms and conditions",dpv:Purpose,dpv,,,,,,DGA 2.15,,,,,
SupportInformedConsentChoices,Support Making Choices for Informed Choices,Supporting individuals in understanding and making choices with respect to informed consent,dpv:Purpose,dpv,,,,,,DGA 2.15,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Legal Basis,,,,,,,,,,,,,,,
A5-12,Art 5(12) Adequacy Decision,Adequacy Decision,dpv:DataTransferLegalBasis,dpv,,,,,,DGA 5.12,,,,,
A12-e,Art 12(e) Data Exchange Approval,Explicit request or approval of the data subject or data holder to utilise additional specific tools for the purposes of facilitating exchange of data,dpv:LegalBasis,dga,,,,,,DGA 12.e,,,,,
A31-2,Art 31(2) Data Transfer International Agreement,Data Transfer International Agreement,dpv:DataTransferLegalBasis,dga,,,,,,DGA 31.2,,,,,
A31-3,Art 31(3) Data Transfer Third Country Judgement,Data Transfer Third Country Judgement,dpv:DataTransferLegalBasis,dga,,,,,,DGA 31.3,,,,,
A5-11,Art 5(11) Model Contractual Clauses,Model Contractual Clauses,dpv:DataTransferLegalBasis,dga,,,,,,DGA 5.11,,,,,
A2-6,Art 2(6) Permission,The legal basis justfiying processing of non-personal data based on the permission of an entity,dpv:NonPersonalDataLegalBasis,dga,,,,,dpv:LegalBasis needs to be divided into dpv:PersonalDataLegalBasis and dpv:NonPersonalDataLegalBasis,DGA 2.6,,,,,
A5-9,Art 5(9) Permission for Transfer,The legal basis justfiying processing of non-personal data based on the permission of an entity to transfer data,dpv:DataTransferLegalBasis,dga,,,,,,DGA 5.9,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOM,,,,,,,,,,,,,,,
CommonlyUsedOpenStandard,Commonly Used Open Standard,Commonly used and openly accessible standard,"CommonlyUsedStandard,OpenStandard",standards extension,,,,,,DGA 12.i,,,,,
CommonlyUsedStandard,Commonly Used Standard,Commonly used standard,Standard,standards extension,,,,,,,,,,,
OpenStandard,Open Standard,Openly accessible standard,Standard,standards extension,,,,,,,,,,,
InternationalStandard,International Standard,Internationally recognised standard,Standard,standards extension,,,,,,,,,,,
Standard,Standard,Standard,dpv:Concept,standards extension,,,,,,,,,,,
CommercialConfidentialityAgreement,Commercial Confidentiality Agreement,"Agreements that enforce commercial confidentiality including business, professional and company secrets",dpv:OrganisationalMeasure,dpv,,,,,,DGA 3.1.a,,,,,
ConsentManagement,Consent Management,Methods to obtain and withdraw consent or permission to process data,dpv:DataSubjectRightsManagement,dpv,,,,,,DGA 12.n,,,,,
dpv:DataSubjectRightsManagement,Data Subject Rights Management,Methods to facilitate the exercising of data subjects' rights,dpv:RightsManagement,dpv,,,,,,DGA 12.m,,,,,
PermissionManagement,Permission Management,Methods to obtain and withdraw consent or permission to process data,dpv:RightsManagement,dpv,,,,,,DGA 12.n,,,,,
IntellectualPropertyRightsManagement,Intellectual Property Rights Management,Management of Intellectual Property Rights with a view to identify and safeguard and enforce them,dpv:RightsManagement,dpv,,,,,,DGA 3.1.c,,,,,
ConsentManagementTool,Consent Management Tool,Technical tools to manage consent,dpv:TechnicalMeasure,dpv-tech,,,,,,DGA 21.3,,,,,
EuropeanDataAltruismConsentForm,European Data Altruism Consent Form,A form provided by the European Commission for collecting consent,dpv:ConsentManagementTool,dga,,,,,,DGA 25.1,,,,,
DataAltruismAnnualActivityReport,Data Altruism Annual Activity Report,Document containing the annual activities reported by a Data Altruism organisation,dpv:RecordsOfActivities,dga,,,,,,DGA 20.2,,,,,
RegisterOfDataIAltruismActivity,Register of Data Altruism Activity,Document that logs the activity of the data altruism organisation,dpv:RecordsOfActivities,dga,,,,,,DGA 20,,,,,
RegisterOfDataIntermediationActivity,Register of Data Intermediation Activity,Document that logs the activity of the data intermediation service provider,dpv:RecordsOfActivities,dga,,,,,,DGA 12.o,,,,,
DataAltruismNotice,Data Altruism Notice,Notice providing information regarding the processing of data for data altruistic purposes,dpv:Notice,dga,,,,,,DGA 21.1,,,,,
DataAssetList,Data Asset List,Searchable asset list which contains available data resources including their data format and size and the conditions for their re-use,dpv:OrganisationalMeasure,dpv,,,,,,DGA 8.2,,,,,
DataBreachNotification,Data Breach Notification,"Notification information a data breach or unauthorised transfer, access, use, or modification of data",dpv:Notice,dpv,,,,,,"DGA 12.k, DGA 21.5 GDPR 33, GDPR 34",,,,,
DataExchangeMethod,Data Exchange Method,Methods to facilitate the exchange of data,dpv:TechnicalMeasure,dpv,,,,,,DGA 12.e,,,,,
DataIntermediationServiceNotification,Data Intermediation Service Notification,Notification by a Data Intermediation Service Provider to a competent authority concerning changes to details regarding its Data Intermediation Service,dpv:Notice,dga,,,,,,"DGA 11.1, DGA 11.9, DGA 11.12, DGA 11.13",,,,,
NationalDataAltruismPolicy,National Data Altruism Policy,A Policy established at National level regarding Data Altruism,dpv:Policy,dga,,,,,,DGA 16,,,,,
DataReusePolicy,Data Reuse Policy,A Policy to govern data re-use,dpv:Policy,dpv,,,,,,,,,,,
Data Reuse Request Procedure,Data Request Procedure,Procedure to request data for reuse via single information point,dpv:OrganisationalMeasure,dga,,,,,,DGA 5.1,,,,,
DataTransferNotice,Data Transfer Notice,Notice for the legal entity for the transfer of its data ,dpv:Notice,dpv,,,,,,DGA 5.9,,,,,
EnforceTransferControl,Enforce Transfer Control,Purposes associated with conducting or enforcing transfer control so as to limit the transfer of data,dpv:OrganisationalMeasure,dpv,,,,,,,,,,,
LegalMeasure,Legal Measure,"Legally-recognised agreements, e.g., contracts",dpv:OrganisationalMeasure,dpv,,,,,Move things such as contracts which are legally recognised or enforceable under this,DGA 12.j,,,,,
Licence,Licence,Document which states the conditions for usage of data,dpv:ContractualTerms,dpv,,,odrl:Offer,rdfs:seeAlso,,DGA 2.10,,,,,
PermissionManagementTool,Permission Management Tool,Technical tools to manage permissions,dpv:TechnicalMeasure,dpv-tech,,,,,,DGA 21.3,,,,,
PersonalDataReuseNotice,Personal Data Reuse Notice,"Notice for data subjects to provide consent based on information and advise regarding intended use of data, exercise of rights, and applicable terms and conditions",dpv:ConsentNotice,dga,,,,,,DGA 12.m,,,,,
ThirdCountryDataRequestNotice,Third Country Data Request Notice,Notice regarding a data request for the transfer of data to a third country recipient,dpv:DataTransferNotice,dga,,,,,,DGA 31.5,,,,,
StatisticalConfidentialityAgreement,Statistical Confidentiality Agreement,Agreements that enforce statistical confidentiality ,dpv:OrganisationalMeasure,dpv,,,,,,DGA 3.1.b,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Risk and Impacts,,,,,,,,,,,,,,,
Compensation,Compensation,Compensation,dpv:Benefit,risk,,,,,,,,,,,
Reward,Reward,Reward,dpv:Benefit,risk,,,,,,,,,,,
RiskOfReIdentification,Risk of Re-identification,Risk of Re-identification,dpv:Risk,risk,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Technology,,,,,,,,,,,,,,,
DataIntermediationTechnology,Data Intermediation Technology,Technology related to the provision of data intermediation services,dpv:Technology,dga,,,,,,DGA 10.a,,,,,
SecureProcessingEnvironment,Secure Processing Environment,Physical or virtual environment to ensure compliance with EU law,dpv:Technology,dga,,,,,,DGA 2.20,,,,,
TechnologyDesigner,Technology Designer,Actor that designsTechnology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologyInstaller,Technology Installer,Actor that installs Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologyMaintainer,Technology Maintainer,Actor that maintains Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologyManufacturer,Technology Manufacturer,Actor that manufactures Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologyOwner,Technology Owner,Actor that owns Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologyPurchaser,Technology Purchaser,Actor that purchases Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
TechnologySupplier,Technology Supplier,Actor that supplies Technology,tech:TechnologyActor,dpv-tech,,,,,,DGA 26.3,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rights,,,,,,,,,,,,,,,
RightToDataConversionOptOut,Right to Data Conversion Opt-out,Right of data subjects and data holders to opt-out of data conversions e.g. enhance interoperability or harmonisation with standards,dpv:Right,dga,,,,,,DGA 12.d,,,,,
RightToImpartialBodyReview,Right to Impartial Body Review,Right of data subjects and data holders to get an review by an impartial body with the appropriate expertise,dpv:Right,dga,,,,,,DGA 28.3,,,,,
RightToLodgeComplaint,Right to Lodge Complaint,Right of data subjects and data holders to lodge a complaint,dpv:Right,dga,,,,,,DGA 27,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Other concepts,,,,,,,,,,,,,,,
SingleInformationPoint,Single Information Point,Service responsible for receiving and transmiting requests for the re-use of public data,dpv:Service,dga,,,,,,,,,,,
DataIntermediationService,Data Intermediation Service,"Service of data intermediation which aims to facilitate the sharing of data between Data Subjects, Data Holders and Data Users",dpv:Service,dga,,,,,,DGA 2.11,,,,,
DataCooperativeService,Data Cooperative Service,Service provided by a data cooperative,DataIntermediationService,dga,,,,,,,,,,,
DataIntermediationServiceBetweenHoldersUsers,Data Intermediation Service between Data Holders and Data Users,Data intermediation service for data shared between Data Holders and Data Users,DataIntermediationService,dga,,,,,,DGA 10.a,,,,,
DataIntermediationServiceBetweenSubjectsUsers,Data Intermediation Service between Data Subjects and Data Users,"Data intermediation service for data shared between Data Subjects, Natural Persons who are Data Holders and Data Users",DataIntermediationService,dga,,,,,,DGA 10.b,,,,,
DataReuseRequest,Data Reuse Request,Request for re-use some data,dpv:Concept,dga,,,,,,,,,,,
DISPEUApproval,EU Approval for Data Intermediation Service Provider,Confirmation and approval by a competent authority for the Data Intermediation Service Provider's compliance with Article 11 and Article 12 of the DGA,dpv:Concept,dga,,,,,,DGA 11.9,,,,,
PublicRegister,Public Register,A register containing information which is made publicly available,dpv:Concept,dga,,,,,,,,,,,
EURegisterOfDataAltruismOrganisations,EU's Public Register of Data Altruism Organisations,Registry maintained by EU containing list of recognised data altruism organisations,PublicRegister,dga,,,,,,DGA 19.5,,,,,
NationalRegisterOfDataAltruismOrganisations,National Public Register of Data Altruism Organisations,Registry maintained at National level containing list of recognised data altruism organisations,PublicRegister,dga,,,,,,DGA 19.6,,,,,
RegisterOfDataAltruismOrganisations,Public Register of Data Altruism Organisations,Registry containing list of recognised data altruism organisations,PublicRegister,dga,,,,,,DGA 19.5,,,,,
RegisterOfDataIntermediationServiceProviders,Public Register of Data Intermediation Service Providers,Document that contains a publicly available list of data intermediation service providers,PublicRegister,dga,,,,,,DGA 11.10,,,,,
RegisterOfEntities,Public Register of Entities,Document that contains a publicly available list of entities that perform a certain activity within a certain location or jurisdiction,PublicRegister,dga,,,,,,,,,,,
Fees,Fees,Fee charged by an entity to provide a service,dpv:Concept,dpv,,,,,,DGA 2.10,,,,,
